signal,ic,icir,net_cw_%,net2_cw_%,net_ls_%,rec_icir,to_%
quality,0.0145,0.157,0.66,0.0,2.56,0.047,137.0
event,0.0102,0.164,1.85,0.31,4.0,0.301,321.0
blend,0.0415,0.335,2.2,0.74,3.57,0.501,304.0
