date,b1_equalweight
2016-01-04,100.0
2016-01-05,100.18227097825381
2016-01-06,98.354876366686
2016-01-07,96.15465968105133
2016-01-08,95.04032685701489
2016-01-11,94.66155402776862
2016-01-12,95.1145334375137
2016-01-13,92.65999856906858
2016-01-14,94.0232278482703
2016-01-15,92.16802597856221
2016-01-19,91.80852859190391
2016-01-20,90.93608792692415
2016-01-21,91.76958967924247
2016-01-22,93.60812227227653
2016-01-25,91.75304390038823
2016-01-26,93.49234513727282
2016-01-27,92.79725273193438
2016-01-28,92.90585356990675
2016-01-29,95.51755045839607
2016-02-01,95.5836916755166
2016-02-02,93.4556855873146
2016-02-03,94.40322627131837
2016-02-04,94.97889034211325
2016-02-05,93.27432716075434
2016-02-08,91.19359035522166
2016-02-09,90.92304199648437
2016-02-10,91.03607493212742
2016-02-11,89.73963185830118
2016-02-12,91.78445809050649
2016-02-16,93.73186017156874
2016-02-17,95.61776256790493
2016-02-18,95.29524980608828
2016-02-19,95.0962405831954
2016-02-22,96.87633565736212
2016-02-23,95.65715910980522
2016-02-24,96.26072063402297
2016-02-25,97.3251396875456
2016-02-26,97.60184998786333
2016-02-29,96.92266151518037
2016-03-01,99.14116648302932
2016-03-02,99.9478225719023
2016-03-03,100.94719114317617
2016-03-04,101.5008916011422
2016-03-07,102.00852092717439
2016-03-08,100.23167128062441
2016-03-09,100.80284515486568
2016-03-10,100.90342222324624
2016-03-11,102.99760236316078
2016-03-14,102.79952627794262
2016-03-15,102.17015529325775
2016-03-16,103.1404895239719
2016-03-17,104.08083456432364
2016-03-18,104.65776445320296
2016-03-21,104.6301422264304
2016-03-22,104.54943355295337
2016-03-23,103.47381239551072
2016-03-24,103.3819453251621
2016-03-28,103.55263528140603
2016-03-29,104.54415310361455
2016-03-30,104.8885732487896
2016-03-31,104.9202751283453
2016-04-01,105.30855569643687
2016-04-04,104.69898187969501
2016-04-05,103.51206380761685
2016-04-06,104.6045903204544
2016-04-07,103.29847469658048
2016-04-08,103.75198970730908
2016-04-11,103.60827767113557
2016-04-12,104.7236626628238
2016-04-13,106.07853344544029
2016-04-14,105.87694668458751
2016-04-15,105.8902772249812
2016-04-18,106.61244567665538
2016-04-19,107.11222056234814
2016-04-20,107.2589928246481
2016-04-21,106.60340389499281
2016-04-22,107.24758001723059
2016-04-25,106.77952277209423
2016-04-26,107.49176039268042
2016-04-27,108.13534214404491
2016-04-28,106.93977930209687
2016-04-29,106.17494467139083
2016-05-02,106.88681186795625
2016-05-03,105.75322241921107
2016-05-04,105.04226685175433
2016-05-05,105.031213306563
2016-05-06,105.28386094062293
2016-05-09,105.242536516017
2016-05-10,106.57745857855058
2016-05-11,105.45644550711759
2016-05-12,105.26243792083207
2016-05-13,104.35249741834365
2016-05-16,105.37031750781436
2016-05-17,104.7094299593346
2016-05-18,104.48912298143789
2016-05-19,104.12502713961064
2016-05-20,104.97628849797995
2016-05-23,104.80726221023588
2016-05-24,106.24872268392464
2016-05-25,107.0718009041132
2016-05-26,106.98898480261424
2016-05-27,107.53942990115772
2016-05-31,107.6592209169491
2016-06-01,107.88049875375584
2016-06-02,108.36482908041707
