date,b0_capweight
2016-01-04,100.0
2016-01-05,100.218512215525
2016-01-06,98.96784787991355
2016-01-07,96.63947263140626
2016-01-08,95.59411991402897
2016-01-11,95.69134462478024
2016-01-12,96.43920915725953
2016-01-13,94.00584881110088
2016-01-14,95.59678004503162
2016-01-15,93.5032819464333
2016-01-19,93.54455183658736
2016-01-20,92.47608421066155
2016-01-21,92.9984682007885
2016-01-22,94.90236333861804
2016-01-25,93.41115007213835
2016-01-26,94.74057422276695
2016-01-27,93.70932944232355
2016-01-28,94.29756981090848
2016-01-29,96.65482576396042
2016-02-01,96.6230436306756
2016-02-02,94.76544400317258
2016-02-03,95.25436019512823
2016-02-04,95.44865558572032
2016-02-05,93.6358128069992
2016-02-08,92.23469759948098
2016-02-09,92.20637160430692
2016-02-10,92.27076252002325
2016-02-11,91.15204717191402
2016-02-12,92.99160079041303
2016-02-16,94.60032164441638
2016-02-17,96.21283396006736
2016-02-18,95.71967133826728
2016-02-19,95.75736477288032
2016-02-22,97.191631927286
2016-02-23,95.98219304132797
2016-02-24,96.41541255654462
2016-02-25,97.5485512493182
2016-02-26,97.4318164623685
2016-02-29,96.64925833282587
2016-03-01,98.95105627696172
2016-03-02,99.33988183581741
2016-03-03,99.68220773428574
2016-03-04,99.99175402250434
2016-03-07,100.05326422404389
2016-03-08,99.02169637861063
2016-03-09,99.53442500273697
2016-03-10,99.5510843252467
2016-03-11,101.19197733006446
2016-03-14,101.0955971955775
2016-03-15,100.925201999609
2016-03-16,101.48559798097419
2016-03-17,102.12356302726707
2016-03-18,102.55748235218344
2016-03-21,102.68016222490056
2016-03-22,102.60456785543637
2016-03-23,101.98819219102107
2016-03-24,101.95577042217072
2016-03-28,102.02558477985657
2016-03-29,102.94830815272395
2016-03-30,103.40361132363584
2016-03-31,103.18575650121261
2016-04-01,103.86272309823843
2016-04-04,103.52987966277597
2016-04-05,102.4850843890902
2016-04-06,103.58960334295288
2016-04-07,102.35023173643071
2016-04-08,102.62200891106434
2016-04-11,102.33830074729468
2016-04-12,103.3281523809065
2016-04-13,104.37453391763327
2016-04-14,104.39324804232382
2016-04-15,104.30452730383162
2016-04-18,104.99116354203971
2016-04-19,105.3040594199062
2016-04-20,105.3701462109246
2016-04-21,104.80671858702262
2016-04-22,104.77867686266946
2016-04-25,104.62683491580373
2016-04-26,104.7861207791684
