,combo_tilt,aggressive
2017-05-31,0.006543052385773766,0.006543052385773766
2017-06-30,0.01021457186604467,0.01021457186604467
2017-07-31,0.01648581167843355,0.01648581167843355
2017-08-31,0.003621272420762952,0.003621272420762952
2017-09-29,0.01865406900024457,0.01865406900024457
2017-10-31,0.013112778716286005,0.013112778716286005
2017-11-30,0.01930186662317317,0.09650933311586585
2017-12-29,0.014869195888802304,0.02305355615904525
2018-01-31,0.04125030433253955,0.06907841485855745
2018-02-28,-0.027065534132715115,-0.04266844653469942
2018-03-29,-0.007038271474940121,-0.009433970619981066
2018-04-30,0.015507761414761838,0.02120297898811141
2018-05-31,0.015466355758812587,0.02217365261632452
2018-06-29,-0.00121725151314668,-0.0017555294398752294
2018-07-31,0.027903010592819463,0.03970199400315017
2018-08-31,0.02032511867979848,0.028541992411678412
2018-09-28,0.00025993422631923567,0.00036895389137020274
2018-10-31,-0.05922494018778342,-0.08267589470235126
2018-11-30,0.01926880756188174,0.020645582474924633
2018-12-31,-0.06882402712772576,-0.08802626222479082
2019-01-31,0.013971411491725613,0.014810097498463386
2019-02-28,0.018013351110665113,0.02135268935239812
2019-03-29,0.010982097997236984,0.01331568510479144
2019-04-30,0.03221902329853219,0.03896861087995076
2019-05-31,-0.05068633671731744,-0.05974635847248184
2019-06-28,0.04725488521030231,0.05209639373562225
2019-07-31,0.02452767561046405,0.02545930987824616
2019-08-30,-0.024696187553887194,-0.02611289947004209
2019-09-30,0.004211741685924985,0.004499947348460189
2019-10-31,0.00967487697183605,0.010322957043154817
2019-11-29,0.01714632905101648,0.021281564991741046
2019-12-31,0.027551067605600908,0.034173426587855604
2020-01-31,-0.002875024905875738,-0.004854413290115113
2020-02-28,-0.04325788240320014,-0.0720765236764705
2020-03-31,-0.035926392258201115,-0.047352408044461974
2020-04-30,0.0010857108192496908,0.0013448958636407414
2020-05-29,0.02271879298941693,0.029621041985211198
2020-06-30,0.01660242474211448,0.023455987458893112
2020-07-31,0.01214781389777602,0.018605189111528406
2020-08-31,0.05031530278861941,0.07806642547741789
2020-09-30,-0.03429232862391481,-0.04501352113444673
2020-10-30,-0.03506428134443981,-0.04273933162349968
2020-11-30,0.032919646242718696,0.03824265156102257
2020-12-31,0.037101719819170584,0.042099785054679054
2021-01-29,-0.02209904481696259,-0.024746729078828418
2021-02-26,0.027662453077410783,0.030556338240304
2021-03-31,0.03852306294537488,0.048274938815582306
2021-04-30,0.04086258473416336,0.054860146576262245
2021-05-28,0.018476286471248007,0.024041655339120473
2021-06-30,0.013750950781565123,0.017929954360004646
2021-07-30,0.015197274335559324,0.019818796301853646
2021-08-31,0.01717529472866266,0.02239974212956857
2021-09-30,-0.021130349273766363,-0.03117919286303253
2021-10-29,0.05983348844800429,0.0939130689805712
2021-11-30,-0.009584013811479154,-0.014486610644798578
2021-12-31,0.03741200854188712,0.053442399721067374
2022-01-31,-0.02387832343900631,-0.03346284757003852
2022-02-28,-0.005909557025516622,-0.008024845786191311
2022-03-31,0.030390048866990975,0.04016650943354254
2022-04-29,-0.02271941804745348,-0.030397529437929303
2022-05-31,0.014786486582614793,0.019350040083090485
2022-06-30,-0.04106110544222219,-0.053873429891474804
2022-07-29,0.02861911590197666,0.03369844470768905
2022-08-31,-0.003492960502736741,-0.004058429658464946
2022-09-30,-0.0708562549717441,-0.08260543394403198
2022-10-31,-0.0018182712363361522,-0.0018594233590560482
2022-11-30,0.017112256057612536,0.02168507662677742
2022-12-30,-0.03692543741563642,-0.045951044604822903
2023-01-31,0.01730895517000007,0.02307272824515808
2023-02-28,-0.018028727068680844,-0.023649347435138673
2023-03-31,0.017299996741415028,0.022526075921311915
2023-04-28,0.008563950231242507,0.011669549299335539
2023-05-31,-0.010245644483909595,-0.013997937961888205
2023-06-30,0.04774976159011916,0.06684739574611864
2023-07-31,0.029776911951214315,0.0383142170145998
2023-08-31,-0.016731292063726214,-0.02132493895465584
2023-09-29,-0.02754618656575118,-0.03466272731213216
