date,0
2016-11-01,100000000.0
2016-11-02,99298527.45098595
2016-11-03,98583894.32757011
2016-11-04,98356818.66513363
2016-11-07,100609793.79916047
2016-11-08,101165246.9702235
2016-11-09,101934770.06385252
2016-11-10,101238729.78321905
2016-11-11,101143991.49112444
2016-11-14,100672873.70362374
2016-11-15,101763737.43754525
2016-11-16,101970306.72660288
2016-11-17,102602973.94104803
2016-11-18,102296330.60904574
2016-11-21,103214450.02487873
2016-11-22,103472188.6537628
2016-11-23,103291439.34730354
2016-11-25,103648797.23717265
2016-11-28,103287941.37785946
2016-11-29,103567157.17260055
2016-11-30,102045158.67382151
2016-12-01,99886147.53462733
2016-12-02,100115063.93841067
2016-12-05,101475771.76811115
2016-12-06,102021203.27605128
2016-12-07,104627092.67375466
2016-12-08,105047956.79467319
2016-12-09,106485609.69952154
2016-12-12,105861052.2961993
2016-12-13,107881568.7154589
2016-12-14,106745850.19791912
2016-12-15,107333372.45375766
2016-12-16,106705450.72266103
2016-12-19,107354314.58165929
2016-12-20,108158142.23277333
2016-12-21,107755109.25813936
2016-12-22,107243620.15257215
2016-12-23,107450363.57768287
2016-12-27,108250796.13247535
2016-12-28,106491813.84665263
2016-12-29,106295496.78432453
2016-12-30,104794610.67361459
2017-01-03,106512666.09407243
2017-01-04,107704622.88080093
2017-01-05,108207408.09279029
2017-01-06,109521905.08238474
2017-01-09,109497264.86950879
2017-01-10,109716983.27697341
2017-01-11,110301532.19352904
2017-01-12,109831438.6389805
2017-01-13,110437859.3885021
2017-01-17,109694638.93729398
2017-01-18,110139468.14221244
2017-01-19,109656003.86462387
2017-01-20,110277584.44543223
2017-01-23,110058442.16657358
2017-01-24,111482349.17069055
2017-01-25,113547143.22589053
2017-01-26,113523696.25736357
2017-01-27,113540589.9887001
2017-01-30,111928713.43525675
2017-01-31,111673095.4338678
2017-02-01,112465104.65646186
2017-02-02,112418773.57339466
2017-02-03,113494312.03181757
2017-02-06,113405071.60555354
2017-02-07,113801306.99948123
2017-02-08,114117213.50229828
2017-02-09,115186874.20666394
2017-02-10,115998651.13942416
2017-02-13,117263825.61411738
2017-02-14,118102167.57052673
2017-02-15,119394020.51619236
2017-02-16,119231009.10899203
2017-02-17,119912503.72001708
2017-02-21,121193806.31262366
2017-02-22,121108803.956462
2017-02-23,120711615.0997175
2017-02-24,121073556.08015455
2017-02-27,121387271.33350478
2017-02-28,120663523.02887818
2017-03-01,123646643.2119318
2017-03-02,122221498.04688655
2017-03-03,122499130.04544105
2017-03-06,121839230.91463374
2017-03-07,121245200.34282961
2017-03-08,121209766.34793748
2017-03-09,121432446.89735624
2017-03-10,122344400.9976988
2017-03-13,122586681.53926034
2017-03-14,121795422.83136371
2017-03-15,123577083.29160167
2017-03-16,123224421.11830059
2017-03-17,122941576.50920905
2017-03-20,122894746.34073181
2017-03-21,119427673.09045494
2017-03-22,120494173.9129122
2017-03-23,120037967.82826662
2017-03-24,120175393.23662575
2017-03-27,120221023.09941477
2017-03-28,121807682.97494529
2017-03-29,122461122.84760767
2017-03-30,123030760.51965807
2017-03-31,122637329.5766036
2017-04-03,122324363.53574142
2017-04-04,122572854.14689761
2017-04-05,121684555.74447979
2017-04-06,122067284.98043308
2017-04-07,121853697.51719934
2017-04-10,121948036.60225591
2017-04-11,121252738.47952354
2017-04-12,120207956.4682496
2017-04-13,118926717.17701373
2017-04-17,120941649.51966162
2017-04-18,120372496.87727402
2017-04-19,120319244.87719822
2017-04-20,122281686.55456603
2017-04-21,121840192.93358564
2017-04-24,124626994.29797867
2017-04-25,126227313.82510132
2017-04-26,125945977.42832837
2017-04-27,126782772.19093964
2017-04-28,126705632.51513548
2017-05-01,128126983.2839011
2017-05-02,128364498.47874597
2017-05-03,127772878.18446963
2017-05-04,127943796.81397374
2017-05-05,128888283.18420221
2017-05-08,129122154.63270523
2017-05-09,129428894.6533956
2017-05-10,129709936.77870792
2017-05-11,129315904.17662358
2017-05-12,129364435.5543534
2017-05-15,130463551.82138807
2017-05-16,130862085.68420832
2017-05-17,125187637.81870466
2017-05-18,126761357.75617653
2017-05-19,128095908.39036605
2017-05-22,129799919.01098646
2017-05-23,130191369.42189713
2017-05-24,131069027.63174573
2017-05-25,132784515.50555372
2017-05-26,132966426.08201551
2017-05-30,132937704.10917105
2017-05-31,132831261.37674673
2017-06-01,134377878.2354088
2017-06-02,136333703.508739
2017-06-05,136176811.57223225
2017-06-06,135174599.07210368
2017-06-07,135926814.3999806
2017-06-08,136108977.48622534
2017-06-09,132472559.22333118
2017-06-12,131708782.46885659
2017-06-13,133396086.59482597
2017-06-14,132620887.7465216
2017-06-15,131750895.45515229
2017-06-16,131183186.79039842
2017-06-19,134443741.6085458
2017-06-20,132457040.40597038
2017-06-21,133709245.30284747
2017-06-22,133584741.89635828
2017-06-23,134230196.3657191
2017-06-26,133665113.01728092
2017-06-27,130136272.97079843
2017-06-28,133152021.03274024
2017-06-29,129644997.10004233
2017-06-30,129907468.53359748
2017-07-03,128732995.09268022
2017-07-05,130272048.01504745
2017-07-06,127881081.86058423
2017-07-07,130063677.3916736
2017-07-10,131027417.68586233
2017-07-11,131272919.79277304
2017-07-12,133791139.97099626
2017-07-13,134284002.6436871
2017-07-14,135940170.15121698
2017-07-17,135963652.22740898
2017-07-18,136916591.82128197
2017-07-19,138435078.33205348
2017-07-20,138651373.6050148
2017-07-21,138443639.02087033
2017-07-24,139016701.657225
2017-07-25,138971174.32126343
2017-07-26,139401778.2586228
2017-07-27,138368053.00231782
2017-07-28,138063366.63771975
2017-07-31,137372028.6533805
2017-08-01,137967489.82932
2017-08-02,138381998.024137
2017-08-03,137547512.83803466
2017-08-04,138020321.65012324
2017-08-07,139124543.32758033
2017-08-08,138513671.88165438
2017-08-09,138298099.89764872
2017-08-10,133353554.5958589
2017-08-11,134535689.8632754
2017-08-14,137575396.76497942
2017-08-15,137626772.9281156
2017-08-16,138078536.94016653
2017-08-17,133075726.33687028
2017-08-18,132746315.47398004
2017-08-21,132655069.44344851
2017-08-22,136037826.9212497
2017-08-23,135038418.1155785
2017-08-24,134298821.23390904
2017-08-25,134303889.13311437
