,eq,ov
2017-04-28,0.01744349073304739,0.020155075793384134
2017-05-31,-0.01233218831775115,0.002297901305942156
2017-06-30,0.020643992126698384,0.0187799064751974
2017-07-31,0.008222225902687053,0.005071400051681659
2017-08-31,-0.00274572749063268,0.01907442186003935
2017-09-29,0.023210325246086596,0.017821688880960924
2017-10-31,-0.010170750066582166,0.02549249718295109
2017-11-30,-0.00921755415816287,0.018047007576252095
2017-12-29,0.03629539373124318,0.0389228144542782
2018-01-31,0.01422483792397583,-0.053575731727669475
2018-02-28,0.020594841441164424,-0.019428263546180987
2018-03-29,0.014916727186307353,0.01912349583804254
2018-04-30,0.047162513112894,0.0372090563717226
2018-05-31,-0.01996951876176205,-0.0055594418753606035
2018-06-29,-0.012122576492224367,0.024486270661608838
2018-07-31,0.032156212154732466,0.024273226994473148
2018-08-31,0.0054660798704874855,0.005899210273630227
2018-09-28,-0.01868942418131023,-0.054689050741075544
2018-10-31,-0.03211633571567482,0.02037984254601249
2018-11-30,0.0027006293749668557,-0.09312465712850262
2018-12-31,-0.027333905770280158,0.023833927310087977
2019-01-31,-0.0005902368570551964,0.030379425881555552
2019-02-28,0.006799636902022758,0.02725843026206115
2019-03-29,-0.020947973204188283,0.013481221639418528
2019-04-30,0.03403829023292546,-0.052555079256075804
2019-05-31,-0.011281093271547839,0.071501589443905
2019-06-28,0.03971872559288125,-0.0009578527792797011
2019-07-31,0.04550636684531915,-0.007348391392955289
2019-08-30,-0.06011320934187732,0.005696961210795311
2019-09-30,-0.036602930445608806,0.03814516470445737
2019-10-31,0.0019377911820135521,0.011767859295262445
2019-11-29,-0.009392792810126624,0.040643686492242516
2019-12-31,0.028666381899659605,-0.00578764378056793
2020-01-31,0.01503133112918636,-0.0468602441739123
2020-02-28,0.051550870894800684,-0.08378814139119209
2020-03-31,-0.015343572092118372,-0.00025
2020-04-30,-0.025430213794850696,0.0404888147617654
2020-05-29,0.02495154321277693,0.015515865400944621
2020-06-30,0.029420855833679215,0.031841192866413896
2020-07-31,-0.05109931960794277,0.06261161589323162
2020-08-31,0.02121311131594474,-0.030284424888939888
2020-09-30,-0.059259427335573864,-0.007858631259245222
2020-10-30,-0.10587734554215777,0.05089949116326335
2020-11-30,-0.0048726701045027805,0.011472701353551239
2020-12-31,0.037381233781259314,0.023935964483552584
2021-01-29,-0.05942396213121586,0.04717616970882123
2021-02-26,-0.008546972610021434,0.035849433485522636
2021-03-31,0.009537995425989976,0.03976341699741802
2021-04-30,0.020763338123038343,0.012341818282172717
2021-05-28,0.02844394789776294,0.015861609744115872
2021-06-30,0.01885320044392757,0.005063400396792087
2021-07-30,0.01753703528070974,0.028075306030701026
2021-08-31,0.004815586578634111,-0.02919562905524991
2021-09-30,0.02678043384206981,0.05879272079073059
2021-10-29,0.034819191051528274,-0.036161781255253586
2021-11-30,0.0053091005507836546,0.07239492954931792
2021-12-31,0.00033780934364020847,-0.0330020372970439
2022-01-31,0.003646123601870022,-0.034414599256801376
2022-02-28,0.007257192959015884,0.035628368676445324
2022-03-31,0.04150995439865928,-0.030678572414751488
2022-04-29,0.002656384839699408,0.02181218193956066
2022-05-31,-0.020699863607770944,-0.03960041513497786
