date,ret,nav
2026-03-06,0.0,100000000.0
2026-03-09,0.022981640210683052,102298164.0210683
2026-03-10,0.005517695691509727,102862614.15993671
2026-03-11,-0.008317536769865375,102007050.58441697
2026-03-12,-0.02876594581016978,99072721.29505038
2026-03-13,-0.00184194624039637,98890234.66853513
2026-03-16,0.02547335808098003,101409301.02695887
2026-03-17,0.004537667043460025,101869462.67012922
2026-03-18,-0.028612031846998533,98954770.35997485
2026-03-19,0.00360949027693916,99311946.64144593
2026-03-20,-0.03685591238549189,95651714.23719616
2026-03-23,0.020800471302691463,97641314.9742402
2026-03-24,-0.003086537733154952,97339941.37125735
2026-03-25,0.0101014724338804,98323218.10573463
2026-03-26,-0.03853311038976159,94534518.68858975
2026-03-27,-0.020372894520705637,92608576.91078144
2026-03-30,-0.018861510327324242,90861839.28097995
2026-03-31,0.057228318703467326,96061709.57733507
2026-04-01,0.009731867778977797,96996569.43356426
2026-04-02,-0.0020171417485612513,96800913.60389261
2026-04-06,0.009725319264269752,97742333.39376345
2026-04-07,-0.002733238055440319,97475180.32850407
2026-04-08,0.04109565707016705,101480986.91213696
2026-04-09,0.010051819128045486,102501055.4375133
2026-04-10,-0.010270972143426912,101448269.95244277
2026-04-13,-0.006301896379913314,100808953.467281
2026-04-14,0.009505682291556728,101767211.3510853
2026-04-15,-0.013810987384309005,100361705.67897917
2026-04-16,-0.0034299230493024806,100017472.75140354
2026-04-17,0.013275488818488551,101345253.59256828
2026-04-20,0.0031369342700045683,101663166.9916651
2026-04-21,-0.015363664571235622,100101248.19475563
2026-04-22,0.010256343887723325,101127921.01983139
2026-04-23,0.018239974916334632,102972491.7625742
2026-04-24,-0.001715818557186013,102795809.65032828
2026-04-27,-0.007074046693258309,102068627.29299058
2026-04-28,-0.016733237656438457,100360688.69523054
2026-04-29,-0.0029160044978541657,100068036.4755875
2026-04-30,0.04001948949703889,104072708.21031158
2026-05-01,0.011442297379049749,105263539.08669703
2026-05-04,-0.01022408854064799,104187315.3429727
2026-05-05,0.020608784936263093,106334489.31796263
2026-05-06,0.014525246212439388,107879023.95618005
2026-05-07,-0.025114645205163627,105169680.54444125
2026-05-08,0.0004204532083587145,105213899.47404823
2026-05-11,0.011642672020307292,106438870.39760216
2026-05-12,0.002101578797788811,106662560.07089034
2026-05-13,0.0035051048349621604,107036423.52590425
2026-05-14,0.013992630229258205,108534144.6213645
2026-05-15,-0.020927869240463276,106262756.23460306
2026-05-18,-0.0034880678364384177,105892104.53236985
2026-05-19,0.0009557196865548106,105993307.70132215
2026-05-20,0.01423674941289908,107502307.86251019
2026-05-21,0.0057328935846404265,108118607.1535892
2026-05-22,0.004174616591181148,108569960.88482797
2026-05-26,0.013765607864532037,110064492.3922361
2026-05-27,-0.0003384544939519063,110027240.57016142
2026-05-28,0.002149438058295245,110263737.30849212
2026-05-29,-0.014806140421123343,108631156.93054472
2026-06-01,-0.008546870745486755,107702700.47332667
2026-06-02,0.014973983476040526,109315438.93053919
2026-06-03,0.0011923360757077279,109445779.6720079
2026-06-04,0.010165035749593182,110558299.93501598
2026-06-05,-0.038798867510022546,106268763.10370395
2026-06-08,0.007783302091728624,107095884.98985441
2026-06-09,-0.004582546615633834,106605113.10454583
