,combo,final
2017-05-31,0.0004184229188664455,0.0004184229188664455
2017-06-30,0.014954684389479299,0.014954684389479299
2017-07-31,0.011828302499112375,0.011828302499112375
2017-08-31,0.009835798769921352,0.009835798769921352
2017-09-29,0.022301845190300578,0.022301845190300578
2017-10-31,0.013818624827367778,0.013818624827367778
2017-11-30,0.0059230654366726875,0.02369226174669075
2017-12-29,0.03878774277206932,0.15515097108827727
2018-01-31,-0.014658761860034147,-0.016762583944717833
2018-02-28,-0.00425271103950888,-0.0049211547372227426
2018-03-29,0.013694509306393255,0.016453478838164518
2018-04-30,0.041312450213455115,0.052270940051677886
2018-05-31,-0.006690485935926719,-0.008709340085518633
2018-06-29,0.004407700398129543,0.0056695294128397385
2018-07-31,0.030070827396094825,0.038463144278300734
2018-08-31,0.009711589807129523,0.012412360997913843
2018-09-28,-0.03696204925777367,-0.04732042072387732
2018-10-31,-0.013097815541847399,-0.015178170584147162
2018-11-30,-0.04588384501808335,-0.052104168631054944
2018-12-31,-0.011248708016319879,-0.009517870686965081
2019-01-31,0.015101077503878652,0.022845436339630636
2019-02-28,0.016894590107269566,0.03148619132230826
2019-03-29,0.0014414644350286094,0.0025907922236722667
2019-04-30,-0.0059375859506572,-0.01075358980036296
2019-05-31,0.020053503666943986,0.04146379553881146
2019-06-28,0.03144079209645495,0.059430945930544536
2019-07-31,0.017096308399323523,0.02834250480673844
2019-08-30,-0.027622435631853588,-0.046785546068463926
2019-09-30,0.0037707503980435,0.005865727984979323
2019-10-31,0.014249660817814213,0.02423914053908947
2019-11-29,0.017606139283255075,0.03012901348795549
2019-12-31,0.019329333831227966,0.03941270468337163
2020-01-31,-0.017722654842050004,-0.03655193432745876
2020-02-28,-0.02352804194089506,-0.042195988771354755
2020-03-31,-0.018152334716220415,-0.029577776978410044
2020-04-30,0.008879488856457672,0.011068471678010625
2020-05-29,0.025730381940500507,0.040444200408564814
2020-06-30,0.03224335050480576,0.05080013034783336
2020-07-31,0.012960904535395754,0.021024560183867863
2020-08-31,0.0041132605451939894,0.006738924568437085
2020-09-30,-0.0356761927522506,-0.06612676865097072
2020-10-30,-0.02427816164585685,-0.036711917734968055
2020-11-30,0.012608109613801037,0.014818398653337997
2020-12-31,0.03126499408388566,0.04696268043568129
2021-01-29,0.001608159018018418,0.0023665038198072094
2021-02-26,0.01726597165471158,0.026469934295196163
2021-03-31,0.025416114207145613,0.04127439861641027
2021-04-30,0.01669853430067247,0.027755730316798285
2021-05-28,0.021510292363546783,0.0355108873690158
2021-06-30,0.01623574123453042,0.027037559653440908
2021-07-30,0.024593286853590718,0.042986576809365365
2021-08-31,-0.009463954094639097,-0.01599989098613171
2021-09-30,0.03701342765647802,0.06069261131616991
2021-10-29,0.005952698937927671,0.012353037123575607
2021-11-30,0.04140517503286576,0.11344040370770804
2021-12-31,-0.011030518412389827,-0.01975908795496762
2022-01-31,-0.025568451627589514,-0.041496092443352596
2022-02-28,0.014554081034459602,0.020734486072655038
2022-03-31,0.0034224411049228742,0.004872669056531821
2022-04-29,0.007606661848614989,0.010812797556209303
2022-05-31,-0.029482770517594306,-0.041817672830623084
2022-06-30,0.00752111469285567,0.009832825099057823
2022-07-29,0.00015289128935920462,0.00020063624964117397
2022-08-31,-0.020119053256468355,-0.02696710966203467
2022-09-30,0.007963094299278477,0.0105027089193602
2022-10-31,0.0038627578158844577,0.005489423349748883
2022-11-30,-0.011720700371545168,-0.01668686467130121
