anchor,strat,b_tot,b_cagr,b_mdd,b_sh,b_yrs
3M,book 1x(무레버),0.02105948811595093,0.08342508663554993,-0.03979440841109949,0.906459027455533,0.2600958247775496
3M,book 3x(공격),0.05738507541497495,0.23928212432784823,-0.11666799426560637,0.9064590274555078,0.2600958247775496
6M,book 1x(무레버),0.015630174966045685,0.030263457698966212,-0.05409348174075734,0.3784040037678261,0.5201916495550992
6M,book 3x(공격),0.0346524234528256,0.06767835866997185,-0.15660538026818938,0.37840400376780875,0.5201916495550992
1Y,book 1x(무레버),0.07051029994216829,0.06957432129556174,-0.05409348174075734,0.8311757813868178,1.0130047912388775
1Y,book 3x(공격),0.19982969264430528,0.1970268189422737,-0.1566053802681895,0.8311757813868023,1.0130047912388775
FULL,book 1x(무레버),1.2570996356445052,0.0884836258693924,-0.16076864988719886,0.8188141325856871,9.60164271047228
FULL,book 3x(공격),6.9931728417691446,0.24170137666114466,-0.44997868677571096,0.8188141325856835,9.60164271047228
