t,net_1x,net_agg,lev,bench
2017-04-28,0.02661144692521981,0.02661144692521981,1.0,0.021049331673495257
2017-05-31,-0.012092242192752168,-0.012092242192752168,1.0,0.0036184724221901996
2017-06-30,0.015913720766821397,0.015913720766821397,1.0,0.019444726641978535
2017-07-31,0.009507070737136093,0.009507070737136093,1.0,0.005067507349163102
2017-08-31,-0.0016465039092579874,-0.0016465039092579874,1.0,0.022004348686637656
2017-09-29,0.025727375246357313,0.025727375246357313,1.0,0.029318438195491677
2017-10-31,-0.009097767864202811,-0.036391071456811246,4.0,0.031735605204485505
2017-11-30,-0.006771512309529178,-0.021576679473497763,3.1863900539816026,0.01018536727709846
2017-12-29,0.030291557219712578,0.0957629888828524,3.161375567068356,0.05671324488623276
2018-01-31,0.017866300179006676,0.033757562839805154,1.889454587775878,-0.03432482374599155
2018-02-28,0.022416864510583487,0.04407698489597048,1.9662421956987242,-0.016354027447415875
2018-03-29,0.014162311731272307,0.028378581677306218,2.003809986376903,0.008491967588651837
2018-04-30,0.04193877913212582,0.08769059640653203,2.0909191497985105,0.03548816188536545
2018-05-31,-0.022544346560368255,-0.04060893517726106,1.801291293518765,0.007289725251315598
2018-06-29,-0.012357724228696495,-0.020724020014767003,1.677009425946139,0.029409146064098113
2018-07-31,0.02947926610980804,0.047675136890717146,1.6172430043926758,0.04426682400538261
2018-08-31,0.011749538917326626,0.01867902758734715,1.5897668596851793,0.0050716455010331035
2018-09-28,-0.002385902644585243,-0.0038362957636535453,1.6079012160701276,-0.08008754736134618
2018-10-31,-0.047217610026987086,-0.07495810401168622,1.5875031364112697,0.019010708785329466
2018-11-30,0.014485719981256856,0.020574126560196308,1.4203040364453594,-0.09206336446816145
2018-12-31,-0.04261024836470549,-0.062248075584318184,1.460870986987227,0.08572198164217773
2019-01-31,0.006146105594923029,0.00917719948550906,1.4931730904672151,0.03848789169796502
2019-02-28,0.00802200930360322,0.012165338217181125,1.516495151871347,0.022106640626042885
2019-03-29,-0.027069042571541416,-0.04242913466191462,1.5674412772368158,0.036512100434185485
2019-04-30,0.040919762536596974,0.06301924978749011,1.5400688049234952,-0.0630673691709456
2019-05-31,-0.025977937163758416,-0.0437654204381863,1.684715001129614,0.07408611502666608
2019-06-28,0.024592876659005156,0.0412011487025051,1.6753285625664498,0.013011125113318171
2019-07-31,0.057093675246247165,0.09181771876678639,1.608194224154832,-0.01865908512235575
2019-08-30,-0.06599467677360897,-0.09397258076285177,1.4239418292057013,0.00937289598821009
2019-09-30,-0.010777582506195555,-0.013552528922251655,1.2574739200057996,0.021924255363494558
2019-10-31,-0.009497781545463966,-0.011938885867163615,1.2570183689753838,0.03842313412559866
2019-11-29,-0.017965834305456056,-0.024256974891341713,1.3501724706419616,0.03037505455563778
2019-12-31,0.03209433350945805,0.0434896586488352,1.355057229526795,0.004047889776987672
2020-01-31,0.009566064502767122,0.01330766503150696,1.3911326886471993,-0.07662516252093353
2020-02-28,0.06151101026199685,0.085468786074776,1.3894876008495816,-0.11869526897457584
2020-03-31,-0.024015114328827126,-0.030314564901014217,1.262311912653499,0.14234453134246977
2020-04-30,0.004766039046964754,0.006111506326521479,1.2823030332522316,0.06115615992090251
2020-05-29,0.0076272761816653335,0.01024065435871077,1.3426358394268652,0.029459384139453697
2020-06-30,0.02760151546502106,0.0386917375341202,1.4017975782218768,0.06307940003009851
2020-07-31,-0.04556843296364657,-0.0640446889683862,1.4054617375032306,0.0812372495803388
2020-08-31,0.028127191108560202,0.04204466166318752,1.4948048491906358,-0.03661160602181798
2020-09-30,-0.05284936050642456,-0.0943921928697498,1.7860612118149497,-0.02881044266954657
2020-10-30,-0.09921313640552498,-0.14339853668552324,1.4453583656441855,0.11839725176694892
2020-11-30,-0.024245759924223703,-0.010739564811585847,0.44294610047903893,0.04395372904054944
2020-12-31,0.041312622678329455,0.018343405697594097,0.44401455314082816,-0.005741185924698029
2021-01-29,-0.06933436729470015,-0.03148441143486042,0.4540953161227889,0.017866790506703464
2021-02-26,-0.0014248738266130958,-0.0016233084421030971,1.1392646926231198,0.029675357101651197
2021-03-31,0.010596668963389913,0.013818901835405448,1.304079789898875,0.05060930154546021
2021-04-30,0.02849255313686763,0.03660320855506445,1.2846587801112892,-0.0020584986898535633
2021-05-28,0.03325824997769501,0.04136290662472587,1.2436886081638792,0.03656933132633897
2021-06-30,0.015167663004373088,0.01826011535230558,1.2038845633002848,0.019414662939263305
2021-07-30,0.02019449299601864,0.024860517531560163,1.2310543045800373,0.02537727088507787
2021-08-31,-0.0021885368173545647,-0.0027510315979204746,1.2570186510482542,-0.04677485046771143
2021-09-30,0.030475861284642174,0.03974431942389731,1.304124567725534,0.07064159248473902
2021-10-29,0.04136559290364812,0.05939543608865412,1.435865701889067,-0.006550020713447469
2021-11-30,0.016857106699347098,0.047469961636949984,2.8160207136132422,0.03566624677835904
2021-12-31,-0.015380110860901136,-0.04373900978017816,2.843868303405418,-0.06706158663859982
2022-01-31,0.009526368944443177,0.0216710739140695,2.274851419302886,-0.03016467045624343
2022-02-28,0.02165150694420926,0.05612880830154231,2.5923742142370405,0.0390663816063406
2022-03-31,0.041768110633226135,0.1057373326623754,2.5315325749559365,-0.08715115055467793
2022-04-29,-0.011449088907962429,-0.02281094839463825,1.9923811036853822,-0.013238907991562162
2022-05-31,-0.0036963843182673947,-0.0067214297900369665,1.8183795869980048,-0.08197743536076929
2022-06-30,-0.022424455221392484,-0.03974679392856699,1.7724753415926617,0.10261494823550009
2022-07-29,0.004078315308695326,0.006570051898157564,1.6109720315517628,-0.0385027820453792
2022-08-31,0.01816944063094046,0.02918693041615009,1.606374737065274,-0.09008951590018134
2022-09-30,0.022477023169976823,0.03645027883151302,1.6216684280594886,0.07824712485139448
2022-10-31,-0.005450547604059299,-0.008862005676171314,1.6258927212325105,0.04872012919248278
2022-11-30,-0.0030573309330552616,-0.005089471320927026,1.6646779273714407,-0.05977795717563556
2022-12-30,-0.08521574797957579,-0.1449363464243771,1.7008164554175471,0.06909855298650686
2023-01-31,0.02103309457948834,0.010041619151985568,0.4774199590096573,-0.017962110415185355
2023-02-28,0.011532832174809991,0.005528499679945354,0.4793705133436955,0.04136896704652305
2023-03-31,0.010571321502757783,0.013209645301890097,1.2495736978999308,0.008365190156720615
2023-04-28,-0.004785913351316483,-0.007327874039418759,1.531133871741127,0.007456451422824998
2023-05-31,-0.001949836211524217,-0.002995184817937117,1.5361212394325856,0.07367755863648305
2023-06-30,-0.02280806390497105,-0.035012882378211534,1.5351097981876676,0.03248507081171128
2023-07-31,0.021991468959226608,0.03394877192188913,1.5437246136141256,-0.01808579904875076
2023-08-31,0.0021598746691477077,0.003233724053231646,1.4971813408542274,-0.04783222189579557
