date,gross,net,net_2x,net_1x_signal,turnover,exposure
2017-05-31,0.12964250147110037,0.12864250147110037,0.12764250147110037,0.042478233816188385,1.0,1.0
2017-06-30,-0.10534146269285771,-0.10534146269285771,-0.10534146269285771,-0.034149622614337884,0.0,1.0
2017-07-31,0.14626052847705728,0.14626052847705728,0.14626052847705728,0.0480545023405472,0.0,1.0
2017-08-31,0.038176463282766505,0.038176463282766505,0.038176463282766505,0.01513310176945944,0.0,1.0
2017-09-29,0.0714657184252544,0.0714657184252544,0.0714657184252544,0.024956530015502944,0.0,1.0
2017-10-31,0.14765247960245267,0.14765247960245267,0.14765247960245267,0.04787027853385998,0.0,1.0
2017-11-30,0.0265150761267295,0.0265150761267295,0.0265150761267295,0.011148290037161335,0.0,1.0
2017-12-29,0.06716699430269579,0.06716699430269579,0.06716699430269579,0.024116917184688225,0.0,1.0
2018-01-31,0.1580980554284618,0.1580980554284618,0.1580980554284618,0.05286699589523183,0.0,1.0
2018-02-28,-0.10145447469070575,-0.10145447469070575,-0.10145447469070575,-0.027017836575568478,0.0,1.0
2018-03-29,-0.07402449046970347,-0.07452449046970347,-0.07502449046970347,-0.022931036284903984,0.5,0.5
2018-04-30,0.025552037157281396,0.025552037157281396,0.025552037157281396,0.01076113884431586,0.0,0.5
2018-05-31,0.13898674933825184,0.1381534160049185,0.13732008267158516,0.04602505427717398,0.8333333333333334,1.0
2018-06-29,-0.06499796930190387,-0.06566463596857053,-0.0663313026352372,-0.02111101750119626,0.6666666666666667,1.0
2018-07-31,0.08267079980768766,0.08267079980768766,0.08267079980768766,0.02960099403404396,0.0,1.0
2018-08-31,0.11234452419952652,0.11234452419952652,0.11234452419952652,0.0385164307618211,0.0,1.0
2018-09-28,-0.02024599482240415,-0.02024599482240415,-0.02024599482240415,-0.0046939510500921084,0.0,1.0
2018-10-31,-0.23231284325177384,-0.23231284325177384,-0.23231284325177384,-0.07407309164828808,0.0,1.0
2018-11-30,0.0,-0.001,-0.002,-0.001,1.0,0.0
2018-12-31,-0.2875543802780859,-0.2885543802780859,-0.2895543802780859,-0.0999186734763583,1.0,1.0
2019-01-31,0.0,-0.001,-0.002,-0.001,1.0,0.0
2019-02-28,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-29,0.11097913032772551,0.10997913032772551,0.1089791303277255,0.0386478855872185,1.0,1.0
2019-04-30,0.13586288338361077,0.13586288338361077,0.13586288338361077,0.04561702885029861,0.0,1.0
2019-05-31,-0.2913068179795383,-0.2913068179795383,-0.2913068179795383,-0.105291457240317,0.0,1.0
2019-06-28,0.3662801070472792,0.36494677371394585,0.36361344038061255,0.113634488707493,1.3333333333333333,1.0
2019-07-31,0.0012237850392844045,-0.00010954829404892876,-0.001442881627382262,0.0019555531373812362,1.3333333333333333,1.0
2019-08-30,-0.08150380152758296,-0.08150380152758296,-0.08150380152758296,-0.01998302498178502,0.0,1.0
2019-09-30,0.031216886835376857,0.030716886835376857,0.030216886835376856,0.011048082244491478,0.5,0.5
2019-10-31,0.19673167078821088,0.19623167078821088,0.19573167078821088,0.06567450262949916,0.5,1.0
2019-11-29,0.03528211490183342,0.03528211490183342,0.03528211490183342,0.013445059036135465,0.0,1.0
2019-12-31,0.24354360661938404,0.24354360661938404,0.24354360661938404,0.07705267704777552,0.0,1.0
2020-01-31,-0.02319260869754695,-0.02319260869754695,-0.02319260869754695,-0.0048925286688823455,0.0,1.0
2020-02-28,-0.12375613525125809,-0.12375613525125809,-0.12375613525125809,-0.0329700746277652,0.0,1.0
2020-03-31,-0.2926113745607522,-0.2931113745607522,-0.2936113745607522,-0.09393503599302974,0.49999999999999994,0.5
2020-04-30,0.0,-0.0005,-0.001,-0.0005,0.5,0.0
2020-05-29,0.17234891107495148,0.17184891107495148,0.17134891107495148,0.0547612653319175,0.5,0.5
2020-06-30,0.07183723270728481,0.07150389937395148,0.07117056604061815,0.026567863057780212,0.33333333333333337,0.5
2020-07-31,0.12219085991987165,0.12219085991987165,0.12219085991987165,0.040049628245547544,0.0,0.5
2020-08-31,0.2589279883632998,0.2584279883632998,0.2579279883632998,0.08097374515858896,0.5,1.0
2020-09-30,-0.1235760408832294,-0.1235760408832294,-0.1235760408832294,-0.0341194832730618,0.0,1.0
2020-10-30,-0.04540720758566779,-0.04590720758566779,-0.04640720758566779,-0.013539399782453072,0.5,0.5
2020-11-30,0.23962594882339655,0.23962594882339655,0.23962594882339655,0.07218940199396957,0.0,0.5
2020-12-31,0.05560106103533539,0.05510106103533539,0.05460106103533539,0.019672130388469728,0.5,1.0
2021-01-29,0.12898611885568223,0.12898611885568223,0.12898611885568223,0.046900073223542796,0.0,1.0
2021-02-26,0.08039384348126351,0.08039384348126351,0.08039384348126351,0.03199748046287265,0.0,1.0
2021-03-31,0.025082221115445148,0.025082221115445148,0.025082221115445148,0.019173901744515165,0.0,1.0
2021-04-30,0.025967628259661063,0.025967628259661063,0.025967628259661063,0.009393906680602693,0.0,1.0
2021-05-28,0.01337640552169487,0.01337640552169487,0.01337640552169487,0.008757241432483612,0.0,1.0
2021-06-30,0.13457398855562636,0.13457398855562636,0.13457398855562636,0.04490516561489939,0.0,1.0
2021-07-30,0.0633111522707644,0.0633111522707644,0.0633111522707644,0.023123920168578744,0.0,1.0
2021-08-31,0.08254913312542445,0.08254913312542445,0.08254913312542445,0.02811106724044454,0.0,1.0
2021-09-30,-0.13152111497348906,-0.13152111497348906,-0.13152111497348906,-0.04310748135218245,0.0,1.0
2021-10-29,0.22186008444432753,0.22186008444432753,0.22186008444432753,0.07171854275761953,0.0,1.0
2021-11-30,0.06248748698227749,0.06248748698227749,0.06248748698227749,0.02229039409656038,0.0,1.0
2021-12-31,0.14633177974356718,0.14633177974356718,0.14633177974356718,0.05281771420149953,0.0,1.0
2022-01-31,-0.26067944873633025,-0.26067944873633025,-0.26067944873633025,-0.08932860428687742,0.0,1.0
2022-02-28,-0.18008121049668402,-0.1807478771633507,-0.18141454383001734,-0.054966103195364845,0.6666666666666667,1.0
2022-03-31,0.0,-0.001,-0.002,-0.001,1.0,0.0
2022-04-29,-0.12320722755505364,-0.12370722755505364,-0.12420722755505365,-0.0429362079990292,0.5,0.5
2022-05-31,0.0,-0.0005,-0.001,-0.0005,0.5,0.0
2022-06-30,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-29,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-31,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-30,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-30,-0.09334869511184757,-0.09384869511184757,-0.09434869511184757,-0.030927265546810856,0.5,0.5
2023-01-31,0.0,-0.0005,-0.001,-0.0005,0.5,0.0
2023-02-28,-0.12198689666557772,-0.12298689666557772,-0.12398689666557772,-0.03740369527370653,1.0,1.0
2023-03-31,0.21375526938258518,0.21375526938258518,0.21375526938258518,0.07353799720777676,0.0,1.0
2023-04-28,-0.05037457125385628,-0.05037457125385628,-0.05037457125385628,-0.014120084097249668,0.0,1.0
2023-05-31,0.27325707563233126,0.27325707563233126,0.27325707563233126,0.08964709862808624,0.0,1.0
2023-06-30,0.1555011690053814,0.1555011690053814,0.1555011690053814,0.05416236218077608,0.0,1.0
2023-07-31,0.09425202364621646,0.09425202364621646,0.09425202364621646,0.035391567450064956,0.0,1.0
2023-08-31,-0.08917376963495449,-0.08917376963495449,-0.08917376963495449,-0.024530807505609764,0.0,1.0
2023-09-29,-0.1636296969477268,-0.1636296969477268,-0.1636296969477268,-0.053920874192051785,0.0,1.0
2023-10-31,-0.08916198911496442,-0.08916198911496442,-0.08916198911496442,-0.025029334954974426,0.0,1.0
2023-11-30,0.28339501014683033,0.282061676813497,0.2807283434801637,0.09105946969373908,1.3333333333333333,1.0
2023-12-29,0.13381722885321215,0.13248389551987882,0.13115056218654547,0.04648611750887562,1.3333333333333333,1.0
2024-01-31,0.12767068913280558,0.12767068913280558,0.12767068913280558,0.04630538041810284,0.0,1.0
2024-02-29,0.2612810077469812,0.2612810077469812,0.2612810077469812,0.0849247796094695,0.0,1.0
2024-03-28,0.010480461447691214,0.010480461447691214,0.010480461447691214,0.008504621952469963,0.0,1.0
2024-04-30,-0.19530882612180692,-0.19530882612180692,-0.19530882612180692,-0.06373245614289594,0.0,1.0
2024-05-31,0.26538903544412185,0.26538903544412185,0.26538903544412185,0.08560703434388742,0.0,1.0
2024-06-28,0.14568807988078336,0.14568807988078336,0.14568807988078336,0.050870193767510445,0.0,1.0
2024-07-31,-0.18422731819930163,-0.18422731819930163,-0.18422731819930163,-0.05644007203233118,0.0,1.0
2024-08-30,-0.04280455680850004,-0.04280455680850004,-0.04280455680850004,-0.0020130880879730695,0.0,1.0
2024-09-30,0.11102458092220391,0.11102458092220391,0.11102458092220391,0.04236487764177088,0.0,1.0
2024-10-31,-0.022863329744836885,-0.022863329744836885,-0.022863329744836885,-0.0018999760610333531,0.0,1.0
2024-11-29,0.16485516716170623,0.16418850049503955,0.1635218338283729,0.05644723121044074,0.6666666666666667,1.0
2024-12-31,-0.07032052617506557,-0.07032052617506557,-0.07032052617506557,-0.018230234419690183,0.0,1.0
2025-01-31,0.04008263126114597,0.04008263126114597,0.04008263126114597,0.018951043144834645,0.0,1.0
2025-02-28,-0.10563909317791165,-0.10563909317791165,-0.10563909317791165,-0.03203443157648117,0.0,1.0
2025-03-31,-0.14173444751569658,-0.14173444751569658,-0.14173444751569658,-0.041884112322996714,0.0,1.0
2025-04-30,0.0,-0.001,-0.002,-0.001,1.0,0.0
2025-05-30,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-30,0.13090735721802538,0.12990735721802538,0.12890735721802538,0.04488801394802422,1.0,1.0
2025-07-31,0.002643948599622692,0.001977281932956025,0.0013106152662893584,0.003919584844874943,0.6666666666666667,1.0
2025-08-29,0.059577794971326016,0.059577794971326016,0.059577794971326016,0.02380748975365043,0.0,1.0
2025-09-30,0.2672753886230979,0.2672753886230979,0.2672753886230979,0.08398894860909951,0.0,1.0
2025-10-31,0.1664646358498886,0.1664646358498886,0.1664646358498886,0.0607035723920409,0.0,1.0
2025-11-28,-0.08763530741280123,-0.08763530741280123,-0.08763530741280123,-0.02283124345185461,0.0,1.0
2025-12-31,0.04123641386705308,0.04123641386705308,0.04123641386705308,0.018911068504366746,0.0,1.0
2026-01-30,0.15884896103009108,0.15884896103009108,0.15884896103009108,0.05369455344705786,0.0,1.0
2026-02-27,-0.06191298335955563,-0.06191298335955563,-0.06191298335955563,-0.015389066252152082,0.0,1.0
2026-03-31,-0.14537594182442481,-0.14537594182442481,-0.14537594182442481,-0.04080510062962961,0.0,1.0
2026-04-30,1.4952162265595104,1.493882893226177,1.4925495598928438,0.3714615263101751,1.3333333333333335,1.0
2026-05-29,0.4040179430326264,0.40268460969929304,0.40135127636595974,0.12505388433534806,1.3333333333333335,1.0
