,eq,ov,combo,combo_lev,lev
2017-05-31,-0.012092242192752168,0.013306406915132154,0.000607082361189993,0.000607082361189993,1.0
2017-06-30,0.015913720766821397,0.008146165360897536,0.012029943063859468,0.012029943063859468,1.0
2017-07-31,0.009507070737136093,0.01901862375476814,0.014262847245952115,0.014262847245952115,1.0
2017-08-31,-0.0016465039092579874,0.005533119789269224,0.0019433079400056185,0.0019433079400056185,1.0
2017-09-29,0.025727375246357313,0.01608693609898567,0.02090715567267149,0.02090715567267149,1.0
2017-10-31,-0.009097767864202811,0.02117370848488625,0.006037970310341719,0.006037970310341719,1.0
2017-11-30,-0.006771512309529178,0.028764743893885936,0.01099661579217838,0.04398646316871352,4.0
2017-12-29,0.030291557219712578,0.009271919338046304,0.01978173827887944,0.07912695311551776,4.0
2018-01-31,0.017866300179006676,0.04973712002197751,0.03380171010049209,0.09108383799813931,2.6946517713851788
2018-02-28,0.022416864510583487,-0.04502430605217373,-0.011303720770795122,-0.02403127617134682,2.125961588987165
2018-03-29,0.014162311731272307,-0.014732652685205818,-0.00028517047696675554,-0.0005672655444254325,1.9892155403294531
2018-04-30,0.04193877913212582,0.00591508539662799,0.023926932264376904,0.04899421687471159,2.0476597807590893
2018-05-31,-0.022544346560368255,0.02926167595679683,0.0033586646982142875,0.00703070075904175,2.0933023659014807
2018-06-29,-0.012357724228696495,0.002825988387484253,-0.004765867920606121,-0.010080855822709787,2.115219303313741
2018-07-31,0.02947926610980804,0.027330936196821688,0.028405101153314863,0.05781435336174687,2.0353510818249614
2018-08-31,0.011749538917326626,0.02343747550270715,0.017593507210016887,0.0346295278033748,1.9683129344249468
2018-09-28,-0.002385902644585243,0.001220194484581851,-0.000582854080001696,-0.0011732784261723492,2.0129882700125137
2018-10-31,-0.047217610026987086,-0.06358279085047722,-0.05540020043873215,-0.10838469818620734,1.956395416043151
2018-11-30,0.014485719981256856,0.021004745618370253,0.017745232799813555,0.023767752796164394,1.3393880522330548
2018-12-31,-0.04261024836470549,-0.07833786006346977,-0.06047405421408763,-0.08185875206633705,1.353617731276032
2019-01-31,0.006146105594923029,0.016811469525567602,0.011478787560245316,0.005885718464760784,0.5127473989626653
2019-02-28,0.00802200930360322,0.02163953402826861,0.014830771665935917,0.008717966437809884,0.587829590676914
2019-03-29,-0.027069042571541416,0.024792094551284317,-0.0011384740101285495,-0.001683544673845734,1.4787730408142021
2019-04-30,0.040919762536596974,0.029061242031025846,0.03499050228381141,0.05174342995968085,1.4787850011407322
2019-05-31,-0.025977937163758416,-0.059653818574369945,-0.042815877869064184,-0.06297529681282239,1.4708397899818382
2019-06-28,0.024592876659005156,0.055479665212245156,0.04003627093562516,0.05548270228271069,1.3858109405824046
2019-07-31,0.057093675246247165,0.012708415109287701,0.03490104517776743,0.045734580868674116,1.3104071994327504
2019-08-30,-0.06599467677360897,-0.009707622551983269,-0.03785114966279612,-0.05059538452906863,1.3366934684892495
2019-09-30,-0.010777582506195555,0.009651854974159293,-0.0005628637660181311,-0.0007485612329725109,1.3299154754054607
2019-10-31,-0.009497781545463966,0.016633258352737185,0.0035677384036366094,0.004744253534052928,1.3297649651715193
2019-11-29,-0.017965834305456056,0.029889675182299083,0.005961920438421513,0.00967054479795276,1.6220519709775174
2019-12-31,0.03209433350945805,0.025902168635989754,0.0289982510727239,0.04757739215128668,1.6406986763432276
2020-01-31,0.009566064502767122,-0.007390300907955076,0.001087881797406023,0.0020720727385502326,1.90468554900996
2020-02-28,0.06151101026199685,-0.08128192123752871,-0.00988545548776593,-0.018804518484149706,1.9022409748768638
2020-03-31,-0.024015114328827126,-0.040249382441941504,-0.03213224838538432,-0.059783010160176404,1.8605299399891768
2020-04-30,0.004766039046964754,-0.00025,0.002258019523482377,0.0037622916690895113,1.6661909385474252
2020-05-29,0.0076272761816653335,0.028195995301754546,0.01791163574170994,0.03197802916910847,1.7853215435060918
2020-06-30,0.02760151546502106,0.012610496965168203,0.020106006215094632,0.03975030174034504,1.9770361808852126
2020-07-31,-0.04556843296364657,0.03309491714762691,-0.0062367579080098295,-0.012932103490711869,2.0735298181292636
2020-08-31,0.028127191108560202,0.05836809020214194,0.04324764065535107,0.0958846233727282,2.2171064575950297
2020-09-30,-0.05284936050642456,-0.027557378172493072,-0.04020336933945882,-0.07472937731870637,1.8587839414086358
2020-10-30,-0.09921313640552498,-0.011782575353567101,-0.05549785587954604,-0.0866999712369238,1.5622219969200184
2020-11-30,-0.024245759924223703,0.0536668314880396,0.014710535781907948,0.019893643087791638,1.3523398047988326
2020-12-31,0.041312622678329455,0.035573446208835575,0.03844303444358252,0.05171518814440984,1.3452420937349525
