date,net,gross,net_2x,net_nokill
2016-01-31,-0.32383704978465755,-0.3193106862422239,-0.3283355903495261,-0.34673858129580204
2016-02-29,-0.13007785084839574,-0.1265857828954472,-0.1335566560639896,-0.13007785084839574
2016-03-31,0.8632633930570559,0.8711983758029438,0.8553605311714572,0.8632633930570559
2016-04-30,-0.010628121773618715,-0.006481548875910459,-0.014758214963034533,-0.010628121773618715
2016-05-31,0.11987179008320004,0.12547503184768716,0.11429416490161914,0.43383237636029737
2016-06-30,-0.6231517605610861,-0.6206074251771709,-0.6256801809762678,-0.2968830186934156
2016-07-31,0.7700860324932259,0.7777668074381325,0.7624364257061735,0.7709203432265113
2016-08-31,0.22471181637486026,0.2302680726659938,0.21917956574700148,0.22471181637486026
2016-09-30,-0.3995602266541479,-0.3968595622174902,-0.4022501216825288,-0.11734008956671538
2016-10-31,-0.09881604771143804,-0.09658440534016588,-0.1010436071949774,-0.047632922916065246
2016-11-30,0.24379403797123045,0.24785659858681486,0.2397434270930372,0.39131966585393796
2016-12-31,0.1499263969685689,0.15470046662524006,0.14517112735349214,0.1499263969685689
2017-01-31,0.6534323750623716,0.6598485432279153,0.6470397708668854,0.6534323750623716
2017-02-28,0.08317420693127997,0.08725054671157872,0.07911234761161579,0.08317420693127997
2017-03-31,0.3121387691144919,0.31807444010156183,0.3062286689414171,0.3121387691144919
2017-04-30,-0.19782454248602754,-0.1931595100936414,-0.2024646942171081,0.036124263041362736
2017-05-31,0.012883717266644279,0.01809187321848227,0.007700748678018288,0.059686677410685895
2017-06-30,0.07525519602778896,0.07994781971244436,0.07058203796742712,0.07525519602778896
2017-07-31,0.2650139773878015,0.2699878901510122,0.2600585732018683,0.2650139773878015
2017-08-31,-0.5209389677438314,-0.5180804577015274,-0.5237818202764746,-0.2588516688931237
2017-09-30,0.34034722365950776,0.34560435876869144,0.3351096021507409,0.34034722365950776
2017-10-31,0.2882672668098647,0.2938420870365752,0.2827153779546241,0.2882672668098647
