Date,DIA,IWM,QQQ,SPY,TQQQ,UPRO,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2025-02-05,439.8494873046875,226.44607543945312,523.5313720703125,595.580322265625,41.952049255371094,94.43951416015625,43.47206115722656,100.96548461914062,43.37337875366211,50.70991134643555,134.8822784423828,116.2255630493164,76.57553100585938,40.33066177368164,37.8419303894043,145.28677368164062,113.37437438964844
2025-02-06,438.5650939941406,225.70574951171875,526.2640380859375,597.650390625,42.58079147338867,95.4177017211914,43.623355865478516,101.39881896972656,42.57542037963867,51.131832122802734,135.49217224121094,116.54318237304688,76.92399597167969,40.445892333984375,37.79848861694336,143.985107421875,113.8245620727539
2025-02-07,434.40850830078125,223.08987426757812,519.6261596679688,592.1796875,40.956966400146484,92.72026824951172,43.091373443603516,101.18215942382812,42.57061004638672,50.8472785949707,135.0888671875,115.54564666748047,76.80783081054688,40.30186080932617,37.72124481201172,143.30979919433594,111.59834289550781
2025-02-10,436.03594970703125,224.09674072265625,525.9161987304688,596.2013549804688,42.39761734008789,94.50868225097656,43.31099319458008,101.63516998291016,43.507972717285156,50.44497299194336,136.2987823486328,117.2330322265625,77.28213500976562,40.35947036743164,38.13157653808594,143.18260192871094,111.97927856445312
2025-02-11,437.3397521972656,222.7937469482422,524.6641845703125,596.65478515625,42.095619201660156,94.70628356933594,43.564796447753906,101.8026123046875,43.85888671875,50.57253646850586,136.34796142578125,117.2876205444336,78.02747344970703,40.58032989501953,38.32467269897461,142.91835021972656,110.70784759521484
2025-02-12,434.9085693359375,220.74050903320312,524.9722290039062,594.732666015625,42.17978286743164,93.826904296875,43.25243377685547,101.91094970703125,42.80134963989258,50.39591598510742,135.50198364257812,117.03451538085938,77.96939849853516,40.23463821411133,38.25708770751953,142.71282958984375,110.68806457519531
2025-02-13,438.4671630859375,223.22805786132812,532.5244140625,601.0116577148438,43.95707702636719,96.7515869140625,44.00405502319336,103.08289337158203,43.123409271240234,50.72953796386719,135.6396942138672,118.69210815429688,78.8115234375,40.55152130126953,38.34397888183594,143.2706756591797,112.35030364990234
2025-02-14,437.0260314941406,223.06027221679688,534.7601928710938,600.9819946289062,44.471946716308594,96.64289855957031,43.852752685546875,103.71318054199219,43.29646682739258,50.82765197753906,135.30526733398438,119.09410095214844,78.02747344970703,40.38827896118164,38.18467712402344,141.7145538330078,112.30083465576172
2025-02-18,437.1534423828125,224.2843017578125,535.9724731445312,602.746337890625,44.74918746948242,97.38394165039062,44.409149169921875,103.2306137084961,43.887725830078125,51.19070816040039,136.36764526367188,120.18096923828125,78.30818176269531,40.53231430053711,38.54190444946289,141.44052124023438,111.9891586303711
2025-02-19,437.88873291015625,223.51431274414062,536.1216430664062,604.1658935546875,44.7541389465332,98.1052474975586,43.88691711425781,103.34880828857422,44.23382568359375,51.210330963134766,136.50537109375,120.1908950805664,78.9373550415039,40.60913848876953,38.744659423828125,143.2804718017578,111.92485046386719
2025-02-20,433.6928405761719,221.3722686767578,533.845947265625,601.65234375,44.20956039428711,96.85039520263672,43.784420013427734,102.86622619628906,44.637611389160156,50.425350189208984,135.61019897460938,119.80875396728516,78.62760162353516,40.887611389160156,38.739830017089844,144.08297729492188,110.96015167236328
2025-02-21,426.24981689453125,214.99546813964844,522.7662353515625,591.361572265625,41.44213104248047,91.84088897705078,42.98399353027344,101.45790100097656,43.70986557006836,49.79736328125,132.6394805908203,116.56303405761719,79.54717254638672,40.55152130126953,38.74948501586914,143.30979919433594,108.04131317138672
2025-02-24,426.6228942871094,213.4456787109375,516.5953369140625,588.670654296875,39.95197677612305,90.51688385009766,42.93518829345703,101.65487670898438,43.71947479248047,50.01323318481445,132.03944396972656,114.8955078125,79.78915405273438,40.73396682739258,38.55638885498047,144.47445678710938,107.63565063476562
2025-02-25,428.1937561035156,212.63624572753906,510.08660888671875,585.7431030273438,38.42716979980469,89.08419036865234,43.26707458496094,100.14807891845703,43.089759826660156,50.00341796875,132.71817016601562,113.40664672851562,80.92167663574219,41.166080474853516,38.363285064697266,145.71739196777344,107.07167053222656
2025-02-26,426.4363708496094,212.9027557373047,511.31884765625,586.038818359375,38.674705505371094,89.18299865722656,43.2475471496582,99.97080993652344,42.844608306884766,49.895484924316406,132.79685974121094,114.64241027832031,79.37293243408203,40.96443176269531,38.5225944519043,144.6702117919922,106.63137817382812
2025-02-27,424.48260498046875,209.65512084960938,497.1187744140625,576.6844482421875,35.4666633605957,84.92440795898438,42.9547119140625,99.00566101074219,43.075347900390625,50.170230865478516,132.3345489501953,110.46862030029297,79.3632583618164,41.146881103515625,37.66814422607422,144.08297729492188,105.09280395507812
