date,nav,port_ret
2025-08-22,100000000.0,0.0
2025-08-25,99010111.0987509,-0.009898889012490874
2025-08-26,99536235.33577272,0.0053138435174268205
2025-08-27,100078060.67194815,0.005443498383756011
2025-08-28,100467287.64251815,0.0038892337437060726
2025-08-29,99677201.65984367,-0.007864111804090489
2025-09-02,98422157.43882583,-0.012591086026880867
2025-09-03,98611014.87510598,0.0019188508075280845
2025-09-04,100069249.40665221,0.014787744892324031
2025-09-05,99821712.79530776,-0.0024736531233340167
2025-09-08,100011752.31489731,0.0019037894088159448
2025-09-09,100144265.62733793,0.0013249774088888427
2025-09-10,100370819.9571637,0.0022622796063914616
2025-09-11,102384711.62256746,0.020064513433916877
2025-09-12,102025622.3104752,-0.0035072551985691975
2025-09-15,102627419.31704335,0.00589848895737992
2025-09-16,102303371.1242087,-0.003157520621595184
2025-09-17,102398148.86673124,0.0009264381171512248
2025-09-18,103265807.72889262,0.008473384253172464
2025-09-19,103686178.9551186,0.004070768780791377
2025-09-22,104352674.5783811,0.006428008341892969
2025-09-23,103974821.83159441,-0.0036209205783497606
2025-09-24,103392789.20094183,-0.005597822822868468
2025-09-25,102425476.21696103,-0.00935571031071479
2025-09-26,103962605.21449095,0.015007291684677381
2025-09-29,104355281.4462205,0.003777091108090384
2025-09-30,104611342.77590276,0.002453745762874527
2025-10-01,105125481.68842934,0.004914753017060191
2025-10-02,105262313.07130189,0.0013016005318108343
2025-10-03,105605848.26630443,0.0032636105456835675
2025-10-06,106230397.83842374,0.005913967667248797
2025-10-07,105438748.70691021,-0.00745219021694354
2025-10-08,106346227.6425253,0.008606692954386406
2025-10-09,105315546.48012726,-0.009691751040409272
2025-10-10,100528102.71905142,-0.045458091621631884
2025-10-13,103390362.8693487,0.028472238835507833
2025-10-14,103906753.84934917,0.004994575564581487
2025-10-15,104778060.28995225,0.008385464932013352
2025-10-16,103150369.95552032,-0.015534648474381218
2025-10-17,103895534.20906596,0.0072240579831847705
2025-10-20,105883243.82646723,0.019131809971749576
2025-10-21,105896508.92625575,0.00012528044390343923
2025-10-22,104879137.64158851,-0.009607222135865814
2025-10-23,105958972.85969563,0.010295996347694071
2025-10-24,107094187.80871075,0.010713721720560038
2025-10-27,108875263.66006261,0.01663092916427146
2025-10-28,108447356.56256786,-0.003930250849548335
2025-10-29,107688734.54076783,-0.006995302106440295
2025-10-30,105817016.99781463,-0.017380811009944826
2025-10-31,106643458.13896933,0.007810096755721155
2025-11-03,106708317.61978602,0.0006081899625965513
2025-11-04,104474888.8340364,-0.02093022208172761
2025-11-05,105495349.05461438,0.009767516691968266
2025-11-06,103517582.26523244,-0.01874743111526233
2025-11-07,104005063.31069483,0.004709161813819961
2025-11-10,106260977.33828823,0.021690425021465468
2025-11-11,107073884.16132602,0.007650097367821568
2025-11-12,107143264.3095803,0.0006479651765480975
2025-11-13,104066508.42311016,-0.028716279145463947
2025-11-14,103887748.44513302,-0.0017177474356143514
2025-11-17,102061706.18525428,-0.017577070320694624
2025-11-18,101007474.5398915,-0.01032935549254117
2025-11-19,101126578.49178837,0.0011791597843567652
2025-11-20,98258036.05702749,-0.02836586066237584
2025-11-21,100422408.3558284,0.022027432927162867
2025-11-24,102765373.80587609,0.02333110197622245
2025-11-25,104654853.93923539,0.018386350026114127
2025-11-26,106071620.80903654,0.013537517052230913
2025-11-28,107302592.99907319,0.011605103991507746
2025-12-01,106002142.55913685,-0.012119468911134024
2025-12-02,106151078.84269294,0.0014050308791919868
2025-12-03,107425853.2981343,0.012009057932707895
2025-12-04,107542880.13200355,0.0010893730910795062
2025-12-05,107706154.10518469,0.0015182220615697066
2025-12-08,106632546.98289284,-0.009967927378071378
2025-12-09,106486089.64436634,-0.0013734768855329271
2025-12-10,108202899.52735083,0.016122386395426378
2025-12-11,109199831.98460555,0.009213546601888606
2025-12-12,107436227.61438294,-0.0161502480193489
2025-12-15,107326344.30684349,-0.0010227770462477848
2025-12-16,106446609.10510613,-0.008196824436898951
2025-12-17,104843430.25958304,-0.015060872854485131
2025-12-18,105931657.52051373,0.010379546512703067
2025-12-19,107134281.2145434,0.011352826172825485
2025-12-22,108557148.37393846,0.013281156537986845
2025-12-23,109071713.90055446,0.004740042773079599
2025-12-24,109738975.66473605,0.006117642607046193
2025-12-26,109602358.18515913,-0.0012449312447957261
2025-12-29,108923555.94863339,-0.006193317805981749
2025-12-30,108720779.04061423,-0.0018616442169293805
2025-12-31,107210356.37165013,-0.013892677023587896
2026-01-02,108171465.30085757,0.008964702308009562
2026-01-05,110022965.4216508,0.017116345014312476
