Date,QQQ,SPY
2024-11-05,488.3221435546875,566.5470581054688
2024-11-06,501.5865478515625,580.6346435546875
2024-11-07,509.4836120605469,585.1241455078125
2024-11-08,510.0790100097656,587.65869140625
2024-11-11,509.7813415527344,588.2186279296875
2024-11-12,508.85858154296875,586.3914184570312
2024-11-13,508.203857421875,586.6763305664062
2024-11-14,504.6720275878906,582.9039306640625
2024-11-15,492.647705078125,575.437744140625
2024-11-18,496.0704345703125,577.7954711914062
2024-11-19,499.4832458496094,579.9075927734375
2024-11-20,499.1955871582031,580.1040649414062
2024-11-21,500.9913330078125,583.21826171875
2024-11-22,501.79486083984375,585.0259399414062
2024-11-25,502.58856201171875,587.0104370117188
2024-11-26,505.28704833984375,590.0753784179688
2024-11-27,501.3087158203125,588.2874145507812
2024-11-29,505.7136535644531,591.9420166015625
2024-12-02,511.21978759765625,593.0029296875
2024-12-03,512.787353515625,593.2780151367188
2024-12-04,519.1268920898438,596.9619750976562
2024-12-05,517.6884155273438,595.9795532226562
2024-12-06,522.3214111328125,597.109375
2024-12-09,518.25390625,594.0344848632812
2024-12-10,516.4879150390625,592.1875610351562
2024-12-11,525.7342529296875,596.7655639648438
2024-12-12,522.34130859375,593.6907348632812
2024-12-13,526.3395385742188,593.5726928710938
2024-12-16,533.9191284179688,596.1072998046875
2024-12-17,531.5677490234375,593.6513061523438
2024-12-18,512.3905029296875,575.9584350585938
2024-12-19,510.108642578125,575.7816772460938
2024-12-20,514.5631713867188,582.697265625
2024-12-23,519.5764770507812,586.1867065429688
2024-12-24,526.6217041015625,592.7020874023438
2024-12-26,526.2640380859375,592.7415161132812
2024-12-27,519.2683715820312,586.5020141601562
2024-12-30,512.3622436523438,579.8091430664062
2024-12-31,508.00982666015625,577.6997680664062
2025-01-02,507.01605224609375,576.2802734375
2025-01-03,515.3134765625,583.4857788085938
2025-01-06,521.2359619140625,586.8471069335938
2025-01-07,511.93487548828125,580.21337890625
2025-01-08,512.0243530273438,581.06103515625
2025-01-10,503.9952087402344,572.189697265625
2025-01-13,502.3754577636719,573.0768432617188
2025-01-14,501.89849853515625,573.8653564453125
2025-01-15,513.4453125,584.303955078125
2025-01-16,509.8481750488281,583.1802368164062
2025-01-17,518.45361328125,589.035400390625
2025-01-21,521.4942626953125,594.427001953125
2025-01-22,528.1619873046875,597.7686767578125
2025-01-23,529.284912109375,601.0313110351562
2025-01-24,526.2938232421875,599.2767333984375
2025-01-27,510.9709777832031,590.7997436523438
2025-01-28,518.523193359375,595.8760986328125
2025-01-29,517.5493774414062,593.204833984375
2025-01-30,519.7553100585938,596.3886108398438
2025-01-31,519.0000610351562,593.2146606445312
2025-02-03,514.846435546875,589.2225952148438
2025-02-04,521.1663208007812,593.1752319335938
2025-02-05,523.5313720703125,595.5803833007812
2025-02-06,526.2640380859375,597.6503295898438
2025-02-07,519.6261596679688,592.1797485351562
2025-02-10,525.9161987304688,596.2013549804688
2025-02-11,524.6642456054688,596.6548461914062
2025-02-12,524.9722290039062,594.732666015625
2025-02-13,532.5244140625,601.0115966796875
2025-02-14,534.7601318359375,600.9819946289062
2025-02-18,535.9724731445312,602.7463989257812
2025-02-19,536.1215209960938,604.1658325195312
2025-02-20,533.845947265625,601.65234375
2025-02-21,522.7661743164062,591.361572265625
2025-02-24,516.5953369140625,588.6705322265625
2025-02-25,510.08660888671875,585.7430419921875
2025-02-26,511.31878662109375,586.0386962890625
2025-02-27,497.1187744140625,576.6844482421875
2025-02-28,504.9690246582031,585.6839599609375
2025-03-03,493.9190673828125,575.4227905273438
2025-03-04,492.42852783203125,568.611572265625
2025-03-05,498.84783935546875,574.722900390625
2025-03-06,485.12481689453125,564.5209350585938
2025-03-07,488.6922302246094,567.6849975585938
2025-03-10,469.7523193359375,552.5643920898438
2025-03-11,468.6293640136719,547.9710083007812
2025-03-12,473.9158935546875,550.8788452148438
2025-03-13,465.38995361328125,543.5353393554688
2025-03-14,476.6386413574219,554.7625122070312
2025-03-17,479.7290344238281,559.0404052734375
2025-03-18,471.5509033203125,552.998046875
2025-03-19,477.86090087890625,559.0206909179688
2025-03-20,476.2411804199219,557.4041748046875
2025-03-21,477.8111877441406,557.5880126953125
2025-03-24,488.29644775390625,567.5736083984375
2025-03-25,491.08294677734375,568.93798828125
2025-03-26,482.04669189453125,562.1458129882812
2025-03-27,479.29998779296875,560.6528930664062
2025-03-28,466.6810607910156,549.3623046875
2025-03-31,466.6611633300781,553.0501098632812
2025-04-01,470.4229736328125,554.6121826171875
2025-04-02,473.8563232421875,558.1219482421875
2025-04-03,448.4891052246094,530.6171875
2025-04-04,420.6339416503906,499.5533752441406
2025-04-07,421.6490478515625,498.66357421875
2025-04-08,414.0557556152344,490.85308837890625
2025-04-09,463.75518798828125,542.4021606445312
2025-04-10,444.03070068359375,518.6346435546875
2025-04-11,452.2110900878906,527.8884887695312
2025-04-14,455.2762756347656,533.009765625
2025-04-15,455.7838439941406,531.5169067382812
2025-04-16,442.0403137207031,519.7023315429688
2025-04-17,441.9607238769531,520.44384765625
2025-04-21,431.02362060546875,508.055908203125
2025-04-22,442.3388977050781,521.2743530273438
2025-04-23,452.37030029296875,529.3516845703125
2025-04-24,465.0987243652344,540.4940185546875
2025-04-25,470.28363037109375,544.3992919921875
2025-04-28,470.1343688964844,544.6068725585938
2025-04-29,473.23931884765625,548.0375366210938
2025-04-30,473.1795959472656,548.2550659179688
2025-05-01,479.35968017578125,552.1404418945312
2025-05-02,486.4752197265625,560.3366088867188
2025-05-05,483.5892028808594,557.1233520507812
2025-05-06,479.0909729003906,552.4667358398438
2025-05-07,480.9718933105469,554.7901611328125
2025-05-08,485.9378662109375,558.65576171875
2025-05-09,485.6194152832031,557.9440307617188
2025-05-12,505.40362548828125,576.3826293945312
2025-05-13,513.1063842773438,580.1890258789062
2025-05-14,516.1814575195312,580.9304809570312
2025-05-15,516.7487182617188,583.7679443359375
2025-05-16,518.997802734375,587.465576171875
2025-05-19,519.4954223632812,588.108154296875
2025-05-20,517.7637939453125,586.1307983398438
2025-05-21,510.5686340332031,576.2540283203125
