date,nav
2024-12-04,100000000.0
2024-12-05,99538493.1039127
2024-12-06,100598251.23165639
2024-12-09,99276853.06040269
2024-12-10,98610197.99895312
2024-12-11,101118307.2272387
2024-12-12,99924643.16350561
2024-12-13,100649816.22969115
2024-12-16,102509044.29684092
2024-12-17,101614912.76285392
2024-12-18,94900336.1104865
2024-12-19,94470583.3359412
2024-12-20,96247269.2861272
2024-12-23,97586263.24982168
2024-12-24,99697847.40919599
2024-12-26,99631481.30566207
2024-12-27,97579275.80469334
2024-12-30,95557490.53511119
2024-12-31,94603970.76830332
2025-01-02,94251939.2932001
2025-01-03,96459741.70925108
2025-01-06,97767953.3937677
2025-01-07,95534734.33637784
2025-01-08,95643145.43244684
2025-01-10,93384277.77093509
2025-01-13,93262080.31070177
2025-01-14,93282692.59475209
2025-01-15,96203833.51614144
2025-01-16,95592893.16423976
2025-01-17,97423473.11832084
2025-01-21,98426441.8419429
2025-01-22,99951655.79515433
2025-01-23,100575405.65479106
2025-01-24,99823994.86267717
2025-01-27,96103868.68950817
2025-01-28,97882376.81764455
2025-01-29,97390698.6059097
2025-01-30,98124158.90882842
2025-01-31,97565472.78031021
2025-02-03,96363244.8661311
2025-02-04,97844072.44287762
2025-02-05,98534727.64179133
2025-02-06,99247037.65517892
2025-02-07,97288508.71189874
2025-02-10,98865529.18163608
2025-02-11,98701759.4710126
2025-02-12,98446133.75238416
2025-02-13,100683227.39462134
2025-02-14,101076153.63026503
2025-02-18,101581992.3830636
2025-02-19,101829305.8554518
2025-02-20,100953249.31693709
2025-02-21,97111249.18304391
2025-02-24,95564507.52106999
2025-02-25,93951999.09482844
2025-02-26,94207732.93174632
2025-02-27,90069037.6438316
2025-02-28,92822649.44166936
2025-03-03,89487276.83134718
2025-03-04,88365456.05599475
2025-03-05,90108264.92367885
2025-03-06,86739414.26519527
2025-03-07,87587740.61369857
2025-03-10,83240903.96077067
2025-03-11,82645492.72006832
2025-03-12,83574803.3598851
2025-03-13,81824947.98586097
2025-03-14,83510639.60370842
2025-03-17,84238510.8181795
2025-03-18,82803140.0686556
