Date,DBMF,GLD,IEF,QQQ,SPY
2024-01-22,23.53264617919922,187.22000122070312,87.08546447753906,416.5978088378906,470.5019836425781
2024-01-23,23.53264617919922,187.9499969482422,86.86598205566406,418.3265380859375,471.8741760253906
2024-01-24,23.452661514282227,186.39999389648438,86.61908721923828,420.64788818359375,472.3899841308594
2024-01-25,23.470434188842773,187.13999938964844,86.99398803710938,421.16162109375,474.9593200683594
2024-01-26,23.594852447509766,187.00999450683594,86.83854675292969,418.6524658203125,474.35589599609375
2024-01-29,23.62151336669922,188.3300018310547,87.35980224609375,422.939697265625,478.11248779296875
2024-01-30,23.630401611328125,188.58999633789062,87.47867584228516,420.1243896484375,477.74273681640625
2024-01-31,23.452661514282227,188.4499969482422,88.21027374267578,411.8957214355469,469.94720458984375
2024-02-01,23.674835205078125,190.41000366210938,88.75662231445312,416.7460021972656,476.09796142578125
2024-02-02,23.817026138305664,188.61000061035156,87.60155487060547,423.78924560546875,481.1100158691406
2024-02-05,23.710386276245117,187.57000732421875,86.74901580810547,423.236083984375,479.3582763671875
2024-02-06,23.719270706176758,188.5500030517578,87.216552734375,422.386474609375,480.7499084472656
2024-02-07,23.737045288085938,188.5,87.06067657470703,426.73297119140625,484.7596130371094
2024-02-08,23.825916290283203,188.3300018310547,86.77651977539062,427.5232849121094,484.9737243652344
2024-02-09,23.89700698852539,187.60000610351562,86.62066650390625,431.7314147949219,487.7765808105469
2024-02-12,23.85257339477539,187.11000061035156,86.70317840576172,430.0422058105469,487.5624694824219
2024-02-13,23.719270706176758,184.52999877929688,85.74979400634766,423.3348083496094,480.84722900390625
2024-02-14,23.85257339477539,184.4199981689453,86.07066345214844,427.947998046875,485.217041015625
2024-02-15,24.003652572631836,185.66000366210938,86.30899047851562,429.2223205566406,488.56488037109375
2024-02-16,23.95033073425293,186.33999633789062,85.93313598632812,425.33026123046875,486.1318359375
2024-02-20,23.77259063720703,187.47000122070312,86.07981872558594,422.1198425292969,483.45550537109375
2024-02-21,23.90589714050293,187.47999572753906,85.80480194091797,420.4305725097656,483.8934631347656
2024-02-22,24.1369571685791,187.55999755859375,85.81394958496094,432.739013671875,493.9078369140625
2024-02-23,24.19916534423828,188.6199951171875,86.20814514160156,431.4646301269531,494.2484436035156
2024-02-26,24.1813907623291,188.1999969482422,86.07981872558594,431.2374572753906,492.438232421875
2024-02-27,24.26137351989746,188.0,85.8873062133789,432.2746887207031,493.35308837890625
2024-02-28,24.208053588867188,188.33999633789062,86.1989974975586,429.9730529785156,492.7010803222656
2024-02-29,24.305809020996094,189.30999755859375,86.37313842773438,433.65765380859375,494.47235107421875
2024-03-01,24.501319885253906,192.88999938964844,86.7674560546875,440.1872253417969,499.11456298828125
2024-03-04,24.554643630981445,196.00999450683594,86.57445526123047,438.6165771484375,498.5792541503906
2024-03-05,24.332469940185547,197.19000244140625,87.1075439453125,430.74359130859375,493.59637451171875
2024-03-06,24.430225372314453,198.80999755859375,87.31896209716797,433.4501953125,496.0975646972656
2024-03-07,24.510210037231445,199.94000244140625,87.46605682373047,440.02923583984375,501.0220642089844
2024-03-08,24.216941833496094,201.6300048828125,87.53036499023438,433.67742919921875,498.0147705078125
2024-03-11,24.101409912109375,202.0,87.42007446289062,432.0672912597656,497.58660888671875
2024-03-12,24.1813907623291,199.7899932861328,87.0616226196289,438.2609558105469,502.9393310546875
2024-03-13,24.48354721069336,201.19000244140625,86.86856842041016,434.8924255371094,502.1510009765625
2024-03-14,24.572418212890625,200.35000610351562,86.22516632080078,433.7959899902344,501.1583557128906
2024-03-15,24.687950134277344,199.7100067138672,86.078125,428.6394958496094,497.7170715332031
2024-03-18,24.83902931213379,200.02999877929688,85.97700500488281,432.72760009765625,500.67510986328125
2024-03-19,25.03453826904297,199.8000030517578,86.22516632080078,433.8057861328125,503.4574279785156
2024-03-20,25.22116470336914,202.17999267578125,86.4273910522461,438.9492492675781,508.11407470703125
2024-03-21,25.372243881225586,201.97000122070312,86.43658447265625,441.0264587402344,509.79315185546875
2024-03-22,25.274486541748047,200.35000610351562,86.859375,441.53094482421875,508.8267517089844
2024-03-25,25.301149368286133,200.99000549316406,86.62960815429688,439.9284973144531,507.42095947265625
2024-03-26,25.235912322998047,201.63999938964844,86.7582778930664,438.504150390625,506.48370361328125
2024-03-27,25.27165985107422,203.10000610351562,87.08918762207031,439.9977111816406,510.7402038574219
2024-03-28,25.629106521606445,205.72000122070312,87.00645446777344,439.18670654296875,510.6425476074219
2024-04-01,25.888256072998047,207.82000732421875,86.21918487548828,440.1164245605469,509.75408935546875
2024-04-02,25.79889488220215,210.88999938964844,86.03483581542969,436.31817626953125,506.5130920410156
2024-04-03,25.8167667388916,212.74000549316406,86.1362533569336,437.29742431640625,507.0694274902344
2024-04-04,25.512935638427734,211.52000427246094,86.43120574951172,430.61083984375,500.8800964355469
2024-04-05,25.879322052001953,215.13999938964844,85.85968780517578,435.68511962890625,506.11273193359375
2024-04-08,26.022302627563477,216.47999572753906,85.66610717773438,435.8136901855469,506.3958740234375
2024-04-09,25.87038803100586,217.6699981689453,86.00719451904297,437.426025390625,506.98162841796875
2024-04-10,26.36187744140625,215.61000061035156,84.86409759521484,433.60791015625,501.9051208496094
2024-04-11,26.522729873657227,219.8000030517578,84.74425506591797,440.5318603515625,505.69293212890625
2024-04-12,26.156343460083008,216.88999938964844,85.09455108642578,433.509033203125,498.7128601074219
2024-04-15,26.486984252929688,220.9499969482422,84.55069732666016,426.3773498535156,492.4649353027344
