date,nav
2024-01-23,100209935.8749083
2024-01-24,100138744.83287586
2024-01-25,100427429.02625842
2024-01-26,100350635.90185171
2024-01-29,101001057.8795812
2024-01-30,100857611.36420815
2024-01-31,99835784.83169252
2024-02-01,100910388.82381736
2024-02-02,101479432.35999954
2024-02-05,101057659.17790623
2024-02-06,101223419.98264499
2024-02-07,101691735.53599244
2024-02-08,101798283.27939741
2024-02-09,102194331.86075233
2024-02-12,102005345.75852965
2024-02-13,100790707.91670226
2024-02-14,101464597.4815197
2024-02-15,102006245.2646451
2024-02-16,101602977.65467812
2024-02-20,101192671.44920439
2024-02-21,101224689.18642823
2024-02-22,102741421.85468377
2024-02-23,102883984.35050727
2024-02-26,102707666.39339572
2024-02-27,102862716.00199364
2024-02-28,102700525.5317218
2024-02-29,103216615.75092414
2024-03-01,104394873.80031434
2024-03-04,104560625.93640183
2024-03-05,103752456.94609594
2024-03-06,104304119.33556654
2024-03-07,105150623.38918038
2024-03-08,104439889.17980127
2024-03-11,104211526.23621121
2024-03-12,104737959.18030381
2024-03-13,104909711.17223589
2024-03-14,104743537.968385
2024-03-15,104307525.94832236
2024-03-18,104883606.77741432
2024-03-19,105313221.55738372
2024-03-20,106278046.98299694
2024-03-21,106635308.63231485
2024-03-22,106436413.75728314
2024-03-25,106317241.03979217
2024-03-26,106180923.55717285
2024-03-27,106687848.56438296
2024-03-28,107207145.94673993
2024-04-01,107555409.54207718
2024-04-02,107274912.91432105
2024-04-03,107536942.29410762
2024-04-04,106425637.88428748
2024-04-05,107602044.54843542
2024-04-08,107849924.30455156
2024-04-09,107955329.20458609
2024-04-10,107665516.44435534
2024-04-11,108761332.90186605
2024-04-12,107405924.48237172
2024-04-15,107200156.34616192
2024-04-16,107068048.96580467
2024-04-17,106125328.47779772
2024-04-18,106027885.09667782
2024-04-19,105348091.6572601
2024-04-22,105439285.49796303
2024-04-23,106327771.25054882
2024-04-24,106361181.5076531
2024-04-25,106195256.9626447
2024-04-26,107585394.8850762
2024-04-29,107426662.48791417
2024-04-30,106249462.67953603
2024-05-01,105909159.11940621
2024-05-02,105977528.59503914
2024-05-03,106802512.01330529
2024-05-06,107714298.41276266
2024-05-07,107858892.60607593
2024-05-08,107878086.82725617
2024-05-09,108517655.54794326
2024-05-10,108695219.55650303
2024-05-13,108702094.95859689
2024-05-14,109107188.0659176
2024-05-15,109915098.57291712
2024-05-16,109792287.11986665
2024-05-17,110307717.6197793
2024-05-20,110758135.1433708
2024-05-21,110828830.27300438
2024-05-22,110284576.19020244
2024-05-23,109525132.35698706
2024-05-24,110050092.56430507
2024-05-28,110581817.18099985
2024-05-29,109902239.5703614
2024-05-30,109309796.53166541
2024-05-31,109416565.41002202
2024-06-03,109554594.69296618
2024-06-04,109125012.55361691
2024-06-05,110534939.07722738
2024-06-06,110708959.94209646
2024-06-07,110168445.92253558
2024-06-10,110735161.57329617
2024-06-11,111023412.82906416
2024-06-12,111627705.43730365
2024-06-13,111583938.16048595
2024-06-14,111988363.24413227
2024-06-17,112681494.49731089
2024-06-18,112878569.84220064
2024-06-20,113118931.58004265
2024-06-21,112660059.05251274
2024-06-24,112437099.73773144
2024-06-25,112727220.10377765
2024-06-26,112756202.77026144
2024-06-27,113122379.37363057
2024-06-28,112900193.49201404
2024-07-01,113543980.27735665
