Date,DBMF,QQQ,SPY
2024-11-05,24.50311851501465,488.3221435546875,566.5470581054688
2024-11-06,24.584949493408203,501.5865478515625,580.6347045898438
2024-11-07,24.821340560913086,509.483642578125,585.1241455078125
2024-11-08,24.748605728149414,510.0789794921875,587.65869140625
2024-11-11,24.675870895385742,509.7813415527344,588.2186279296875
2024-11-12,24.63949966430664,508.8586120605469,586.3914184570312
2024-11-13,24.64859390258789,508.203857421875,586.67626953125
2024-11-14,24.521303176879883,504.6719970703125,582.9039916992188
2024-11-15,24.50311851501465,492.647705078125,575.4376831054688
2024-11-18,24.5122127532959,496.0704345703125,577.7954711914062
2024-11-19,24.50311851501465,499.4832763671875,579.9075927734375
2024-11-20,24.603130340576172,499.195556640625,580.10400390625
2024-11-21,24.666778564453125,500.9913024902344,583.21826171875
2024-11-22,24.775882720947266,501.7948913574219,585.02587890625
2024-11-25,24.666778564453125,502.58856201171875,587.0103759765625
2024-11-26,24.748605728149414,505.2870788574219,590.0753784179688
2024-11-27,24.594039916992188,501.3087463378906,588.2874145507812
2024-11-29,24.739513397216797,505.7136535644531,591.9419555664062
2024-12-02,24.83952522277832,511.21978759765625,593.0029907226562
2024-12-03,24.821340560913086,512.787353515625,593.2780151367188
2024-12-04,24.903169631958008,519.1268920898438,596.9619750976562
2024-12-05,24.739513397216797,517.6882934570312,595.9795532226562
2024-12-06,24.866802215576172,522.3214721679688,597.109375
2024-12-09,24.87589454650879,518.2538452148438,594.034423828125
2024-12-10,24.857711791992188,516.4878540039062,592.1875610351562
2024-12-11,25.003183364868164,525.7343139648438,596.7655639648438
2024-12-12,24.894081115722656,522.34130859375,593.6906127929688
2024-12-13,24.684961318969727,526.3394775390625,593.57275390625
2024-12-16,24.675870895385742,533.919189453125,596.1072998046875
2024-12-17,24.684961318969727,531.5677490234375,593.6513061523438
2024-12-18,24.466753005981445,512.3905029296875,575.9584350585938
2024-12-19,24.403106689453125,510.10870361328125,575.7815551757812
2024-12-20,24.421293258666992,514.563232421875,582.697265625
2024-12-23,24.484939575195312,519.576416015625,586.1865844726562
2024-12-24,24.575857162475586,526.6217651367188,592.7020874023438
2024-12-26,24.5122127532959,526.2640991210938,592.7415771484375
2024-12-27,24.484996795654297,519.2683715820312,586.5020751953125
2024-12-30,24.409915924072266,512.3622436523438,579.80908203125
2024-12-31,24.550689697265625,508.009765625,577.6997680664062
2025-01-02,24.72900390625,507.01605224609375,576.2802734375
2025-01-03,24.71961784362793,515.3134155273438,583.4857788085938
2025-01-06,24.635154724121094,521.2359619140625,586.8470458984375
2025-01-07,24.710233688354492,511.93487548828125,580.2131958007812
2025-01-08,24.860389709472656,512.0243530273438,581.0609130859375
2025-01-10,25.123167037963867,503.9952392578125,572.1896362304688
2025-01-13,25.198246002197266,502.37548828125,573.0768432617188
2025-01-14,25.001163482666016,501.8984680175781,573.8652954101562
2025-01-15,25.029315948486328,513.4453125,584.303955078125
2025-01-16,25.001163482666016,509.8481140136719,583.1802368164062
2025-01-17,25.08562469482422,518.4535522460938,589.0353393554688
2025-01-21,24.822851181030273,521.4942016601562,594.4270629882812
2025-01-22,24.879159927368164,528.1619873046875,597.7686767578125
2025-01-23,24.944852828979492,529.284912109375,601.0313110351562
2025-01-24,24.757156372070312,526.2938232421875,599.2766723632812
2025-01-27,24.588228225708008,510.9709777832031,590.7997436523438
2025-01-28,24.766542434692383,518.5231323242188,595.8760986328125
2025-01-29,24.747772216796875,517.5493774414062,593.204833984375
2025-01-30,24.813467025756836,519.7553100585938,596.388671875
2025-01-31,24.84161949157715,519.0000610351562,593.2147216796875
2025-02-03,24.8885440826416,514.8463745117188,589.2225952148438
2025-02-04,24.77592658996582,521.1663208007812,593.17529296875
2025-02-05,24.710233688354492,523.5313720703125,595.5803833007812
2025-02-06,24.747772216796875,526.2640991210938,597.6503295898438
2025-02-07,24.84161949157715,519.6260986328125,592.1796875
2025-02-10,25.06685447692871,525.9161987304688,596.2013549804688
2025-02-11,25.07624053955078,524.6642456054688,596.65478515625
2025-02-12,25.132549285888672,524.97216796875,594.732666015625
2025-02-13,25.057470321655273,532.5244140625,601.0115966796875
2025-02-14,24.8040828704834,534.76025390625,600.9819946289062
2025-02-18,25.179471969604492,535.9724731445312,602.7464599609375
2025-02-19,25.057470321655273,536.12158203125,604.1658325195312
2025-02-20,24.916696548461914,533.8460083007812,601.6522827148438
2025-02-21,24.6539249420166,522.7661743164062,591.3616333007812
2025-02-24,24.60700035095215,516.5953369140625,588.6705932617188
2025-02-25,24.353609085083008,510.0865783691406,585.7430419921875
2025-02-26,24.362993240356445,511.3187255859375,586.038818359375
2025-02-27,24.334840774536133,497.1188049316406,576.6843872070312
2025-02-28,24.269147872924805,504.9690246582031,585.6838989257812
2025-03-03,24.10960578918457,493.9190673828125,575.4227905273438
2025-03-04,23.92190933227539,492.42852783203125,568.6116333007812
2025-03-05,23.89375114440918,498.84783935546875,574.7229614257812
2025-03-06,23.771753311157227,485.1248474121094,564.5208740234375
2025-03-07,23.80929183959961,488.6922607421875,567.6849975585938
2025-03-10,23.358816146850586,469.7522888183594,552.5643920898438
2025-03-11,23.34943389892578,468.62939453125,547.9710083007812
2025-03-12,23.5465145111084,473.9158935546875,550.8787841796875
2025-03-13,23.56528663635254,465.3899230957031,543.5353393554688
2025-03-14,23.7905216217041,476.638671875,554.762451171875
2025-03-17,23.884368896484375,479.7290344238281,559.0404663085938
2025-03-18,23.950063705444336,471.5509033203125,552.998046875
2025-03-19,23.959449768066406,477.86090087890625,559.0206909179688
2025-03-20,23.89375114440918,476.24114990234375,557.4041748046875
2025-03-21,23.884368896484375,477.8111877441406,557.5880737304688
2025-03-24,23.91252326965332,488.29644775390625,567.5735473632812
2025-03-25,23.950063705444336,491.0829772949219,568.93798828125
2025-03-26,23.959449768066406,482.0467224121094,562.1458740234375
2025-03-27,24.034109115600586,479.2999572753906,560.6528930664062
2025-03-28,23.93960189819336,466.68109130859375,549.3623657226562
2025-03-31,23.87343978881836,466.6611328125,553.0501098632812
2025-04-01,23.920698165893555,470.4229431152344,554.6121826171875
2025-04-02,23.85453987121582,473.8563537597656,558.1219482421875
2025-04-03,23.627716064453125,448.4891052246094,530.6173095703125
2025-04-04,23.344181060791016,420.63397216796875,499.5533447265625
2025-04-07,23.296924591064453,421.6490478515625,498.6635437011719
2025-04-08,23.259122848510742,414.0557861328125,490.85308837890625
2025-04-09,23.722225189208984,463.7552185058594,542.4021606445312
2025-04-10,23.589908599853516,444.0306701660156,518.6346435546875
2025-04-11,23.674968719482422,452.21112060546875,527.8886108398438
2025-04-14,23.571008682250977,455.2762756347656,533.0098266601562
2025-04-15,23.684419631958008,455.7838134765625,531.516845703125
2025-04-16,23.769479751586914,442.0403137207031,519.7023315429688
2025-04-17,23.750577926635742,441.9607238769531,520.44384765625
2025-04-21,23.731678009033203,431.02362060546875,508.05584716796875
2025-04-22,23.892345428466797,442.3388977050781,521.2744140625
2025-04-23,23.863990783691406,452.3703308105469,529.3516845703125
2025-04-24,23.93960189819336,465.0987548828125,540.4940185546875
2025-04-25,24.05301284790039,470.28363037109375,544.3992919921875
2025-04-28,23.93014907836914,470.13433837890625,544.60693359375
2025-04-29,23.863990783691406,473.23931884765625,548.0375366210938
2025-04-30,23.87343978881836,473.1795654296875,548.2550048828125
2025-05-01,23.712772369384766,479.35968017578125,552.1405639648438
2025-05-02,23.684419631958008,486.4752197265625,560.3366088867188
2025-05-05,23.74112892150879,483.5892028808594,557.1234130859375
2025-05-06,23.986854553222656,479.09100341796875,552.466796875
2025-05-07,23.901798248291016,480.9718933105469,554.7901611328125
2025-05-08,23.816736221313477,485.9378662109375,558.6558227539062
2025-05-09,23.920698165893555,485.6194152832031,557.9440307617188
2025-05-12,23.797832489013672,505.40362548828125,576.3826293945312
2025-05-13,23.816736221313477,513.1063842773438,580.1889038085938
2025-05-14,23.750577926635742,516.181396484375,580.930419921875
2025-05-15,23.8450870513916,516.748779296875,583.7679443359375
2025-05-16,23.80728530883789,518.9978637695312,587.465576171875
2025-05-19,23.835636138916016,519.4954223632812,588.1082153320312
2025-05-20,23.88289451599121,517.7638549804688,586.130859375
2025-05-21,23.85453987121582,510.5686340332031,576.2540893554688
2025-05-22,23.80728530883789,511.5240173339844,576.4814453125
2025-05-23,23.93960189819336,506.78692626953125,572.5465698242188
2025-05-27,23.87343978881836,518.7091674804688,584.4501342773438
2025-05-28,23.835636138916016,516.4103393554688,581.06884765625
2025-05-29,23.87343978881836,517.4254760742188,583.362548828125
2025-05-30,23.835636138916016,516.6093139648438,582.7101440429688
2025-06-02,23.977405548095703,520.689697265625,585.9925537109375
2025-06-03,23.91124725341797,524.7598876953125,589.3341064453125
2025-06-04,24.034109115600586,526.2228393554688,589.1759643554688
2025-06-05,23.986854553222656,522.2620239257812,586.3285522460938
